Date,Nasdaq 100
1985-10,115.4800033569336
1985-11,126.05999755859375
1985-12,132.2949981689453
1986-01,132.9250030517578
1986-02,140.4250030517578
1986-03,148.86000061035156
1986-04,154.91000366210938
1986-05,163.16000366210938
1986-06,162.61500549316406
1986-07,144.7050018310547
1986-08,151.6999969482422
1986-09,137.4949951171875
1986-10,144.47999572753906
1986-11,147.94000244140625
1986-12,141.40499877929688
1987-01,166.6750030517578
1987-02,182.75
1987-03,186.0399932861328
1987-04,184.8300018310547
1987-05,188.77000427246094
1987-06,189.24000549316406
1987-07,196.35000610351562
1987-08,209.5749969482422
1987-09,205.5050048828125
1987-10,150.07000732421875
1987-11,137.125
1987-12,156.25
1988-01,159.1300048828125
1988-02,172.63999938964844
1988-03,173.25999450683594
1988-04,175.9199981689453
1988-05,173.34500122070312
1988-06,189.02499389648438
1988-07,181.16000366210938
1988-08,170.9949951171875
1988-09,179.36500549316406
1988-10,174.77999877929688
1988-11,169.18499755859375
1988-12,177.41000366210938
1989-01,186.47000122070312
1989-02,183.7899932861328
1989-03,185.8699951171875
1989-04,200.47000122070312
1989-05,214.5449981689453
1989-06,204.5850067138672
1989-07,214.27499389648438
1989-08,222.0050048828125
1989-09,226.38999938964844
1989-10,222.61500549316406
1989-11,224.44500732421875
1989-12,223.8350067138672
1990-01,201.94000244140625
1990-02,207.9149932861328
1990-03,213.14500427246094
1990-04,205.81500244140625
1990-05,236.14999389648438
1990-06,238.4600067138672
1990-07,223.38499450683594
1990-08,193.61500549316406
1990-09,177.05499267578125
1990-10,172.55499267578125
1990-11,192.5800018310547
1990-12,200.52999877929688
1991-01,232.4250030517578
1991-02,250.11500549316406
1991-03,264.9049987792969
1991-04,263.6549987792969
1991-05,279.0
1991-06,254.19500732421875
1991-07,272.1549987792969
1991-08,287.4049987792969
1991-09,287.5350036621094
1991-10,292.5050048828125
1991-11,284.7900085449219
1991-12,330.8550109863281
1992-01,338.31500244140625
1992-02,345.8800048828125
1992-03,323.04998779296875
1992-04,307.8599853515625
1992-05,315.2950134277344
1992-06,301.2300109863281
1992-07,310.8949890136719
1992-08,299.260009765625
1992-09,313.18499755859375
1992-10,329.1549987792969
1992-11,350.9599914550781
1992-12,360.18499755859375
1993-01,370.55999755859375
1993-02,351.1400146484375
1993-03,359.4200134277344
1993-04,339.94500732421875
1993-05,368.1099853515625
1993-06,366.125
1993-07,352.864990234375
1993-08,372.6499938964844
1993-09,382.7149963378906
1993-10,390.9849853515625
1993-11,386.760009765625
1993-12,398.2799987792969
1994-01,413.989990234375
1994-02,412.1700134277344
1994-03,382.9599914550781
1994-04,373.25
1994-05,378.8500061035156
1994-06,360.29998779296875
1994-07,370.1600036621094
1994-08,397.8999938964844
1994-09,393.8500061035156
1994-10,413.04998779296875
1994-11,404.82000732421875
1994-12,404.2699890136719
1995-01,405.3299865722656
1995-02,432.5
1995-03,447.1499938964844
1995-04,469.55999755859375
1995-05,488.1000061035156
1995-06,538.030029296875
1995-07,568.8800048828125
1995-08,576.77001953125
1995-09,585.0800170898438
1995-10,598.780029296875
1995-11,593.719970703125
1995-12,576.22998046875
1996-01,591.8200073242188
1996-02,622.8300170898438
1996-03,609.6900024414062
1996-04,666.72998046875
1996-05,692.3900146484375
1996-06,677.2999877929688
1996-07,636.010009765625
1996-08,663.5700073242188
1996-09,737.5700073242188
1996-10,751.989990234375
1996-11,834.010009765625
1996-12,821.3599853515625
1997-01,921.5499877929688
1997-02,850.4600219726562
1997-03,797.0599975585938
1997-04,874.739990234375
1997-05,958.8499755859375
1997-06,957.2999877929688
1997-07,1107.030029296875
1997-08,1074.050048828125
1997-09,1097.1600341796875
1997-10,1019.6199951171875
1997-11,1050.510009765625
1997-12,990.8300170898438
1998-01,1071.1300048828125
1998-02,1194.1300048828125
1998-03,1220.6600341796875
1998-04,1248.1199951171875
1998-05,1192.0699462890625
1998-06,1337.3399658203125
1998-07,1377.260009765625
1998-08,1140.3399658203125
1998-09,1345.47998046875
1998-10,1400.52001953125
1998-11,1557.9599609375
1998-12,1836.010009765625
1999-01,2127.18994140625
1999-02,1925.280029296875
1999-03,2106.389892578125
1999-04,2136.389892578125
1999-05,2089.699951171875
1999-06,2296.77001953125
1999-07,2270.929931640625
1999-08,2396.8701171875
1999-09,2407.89990234375
1999-10,2637.43994140625
1999-11,2966.7099609375
1999-12,3707.830078125
2000-01,3570.050048828125
2000-02,4266.93994140625
2000-03,4397.83984375
2000-04,3773.179931640625
2000-05,3324.080078125
2000-06,3763.7900390625
2000-07,3609.35009765625
2000-08,4077.590087890625
2000-09,3570.610107421875
2000-10,3282.300048828125
2000-11,2506.5400390625
2000-12,2341.699951171875
2001-01,2593.0
2001-02,1908.3199462890625
2001-03,1573.25
2001-04,1855.1500244140625
2001-05,1799.8900146484375
2001-06,1830.18994140625
2001-07,1683.6099853515625
2001-08,1469.699951171875
2001-09,1168.3699951171875
2001-10,1364.780029296875
2001-11,1596.050048828125
2001-12,1577.050048828125
2002-01,1550.1700439453125
2002-02,1359.219970703125
2002-03,1452.81005859375
2002-04,1277.0699462890625
2002-05,1208.3399658203125
2002-06,1051.4100341796875
2002-07,962.0999755859375
2002-08,942.3800048828125
2002-09,832.52001953125
2002-10,989.5399780273438
2002-11,1116.0999755859375
2002-12,984.3699951171875
2003-01,983.0499877929688
2003-02,1009.739990234375
2003-03,1018.6599731445312
2003-04,1106.06005859375
2003-05,1197.8900146484375
2003-06,1201.68994140625
2003-07,1276.93994140625
2003-08,1341.199951171875
2003-09,1303.699951171875
