Date,FTSE 100
2000-04,10000
2000-05,10058.100129091687
2000-06,10107.336288840748
2000-07,10095.527423341944
2000-08,10321.76111741754
2000-09,9860.131234311311
2000-10,9955.835011916008
2000-11,9302.26553342069
2000-12,9932.225203593438
2001-01,9844.4622727975
2001-02,9206.713170009876
2001-03,8674.2131872859
2001-04,9255.375264144355
2001-05,8925.57255103073
2001-06,8615.47036306657
2001-07,8562.022465382008
2001-08,8504.829144475483
2001-09,7877.111273736133
2001-10,8033.500292651615
2001-11,8145.9409423539255
2001-12,8296.722556172597
2002-01,8018.647396034353
2002-02,7964.375849894879
2002-03,8320.3377298659
2002-04,8048.126077415791
2002-05,8452.24179061639
2002-06,8269.05926761423
2002-07,7687.234008962531
2002-08,7628.237332756515
2002-09,6808.577763697198
2002-10,7366.983484317114
2002-11,7587.100119741909
2002-12,7454.552221544625
2003-01,6910.127123277816
2003-02,6801.2738878798145
2003-03,6791.9735705586245
2003-04,7429.04272242967
2003-05,7903.487288779411
2003-06,7910.32901236006
2003-07,7990.038984341525
2003-08,7882.267386685745
2003-09,8208.109623810187
2003-10,8743.018435966775
2003-11,9025.622500495889
2003-12,9670.040636386917
2004-01,9577.824830997422
2004-02,10072.70024303834
2004-03,9822.604390021079
2004-04,9676.07308559068
2004-05,9909.286393489507
2004-06,9325.731967496205
2004-07,9706.757061182374
2004-08,9289.97680925928
2004-09,10084.00461568737
2004-10,10345.081756466823
2004-11,11008.666130584426
2004-12,11362.087710877042
2005-01,10709.825698021472
2005-02,11722.897189922538
2005-03,11402.29145363943
2005-04,11382.70833313743
2005-05,10755.83108827194
2005-06,11435.712983673131
2005-07,11563.954701576846
2005-08,11887.48475057119
2005-09,12168.201185653828
2005-10,11379.332399435709
2005-11,11831.680732023005
2005-12,12174.771826633189
2006-01,12844.33452055679
2006-02,12781.378108672487
2006-03,13192.188261594072
2006-04,13831.053048831256
2006-05,13704.427668657854
2006-06,13711.696866552817
2006-07,13656.03352185246
2006-08,14516.4472453192
2006-09,14373.80145639193
2006-10,15034.886323744227
2006-11,15358.623131502862
2006-12,15687.870863847627
2007-01,15582.529543264352
2007-02,15612.83731739001
2007-03,16066.460459529055
2007-04,16295.138265184492
2007-05,17070.668810997468
2007-06,17300.58306162578
2007-07,16907.380507435802
2007-08,16772.22686970366
2007-09,17345.416736617273
2007-10,18392.478728994407
2007-11,17605.243629401306
2007-12,16775.36461603965
2008-01,15510.045232618146
2008-02,15530.28503022969
2008-03,14863.388468024503
2008-04,16133.427837801146
2008-05,16157.020775123709
2008-06,14829.422409745861
2008-07,14548.242977621218
2008-08,14112.638127737855
2008-09,12158.786421743323
2008-10,9742.454238358476
2008-11,9088.732927030707
2008-12,8751.168451087457
2009-01,8006.333226983166
2009-02,7386.553029934938
2009-03,7682.54935408019
2009-04,8662.360349050956
2009-05,9855.34152898976
2009-06,9775.256980832484
2009-07,10572.999524316305
2009-08,11104.801888971537
2009-09,11568.556063975924
2009-10,11697.767883607761
2009-11,12043.512369739776
2009-12,12370.342272857886
2010-01,11787.904948139856
2010-02,11537.04894766802
2010-03,12243.82267928739
2010-04,12115.721733887995
2010-05,10782.522138695915
2010-06,10601.613567792578
2010-07,11800.007879537194
2010-08,11612.017182921063
2010-09,12750.71092012033
2010-10,13127.74015796744
2010-11,12477.620959831796
2010-12,13333.023960719467
2011-01,13584.406454049184
2011-02,14220.764360259029
2011-03,13960.537844451397
2011-04,14900.975281841509
2011-05,14609.2538919113
2011-06,14125.269096795248
2011-07,14072.095390876746
2011-08,13153.853425314603
2011-09,11965.063735141914
2011-10,13324.617691852376
2011-11,13008.199439591413
2011-12,13012.645424280718
2012-01,13525.441664665163
2012-02,14189.941925143468
2012-03,14078.296655238155
2012-04,14247.405271372954
2012-05,12670.673775679956
2012-06,13394.485125699677
2012-07,13614.70991072686
2012-08,14064.551521054667
2012-09,14473.406679838336
2012-10,14518.572884405105
2012-11,14707.295480165465
2012-12,14931.884266784828
2013-01,15554.954047933004
2013-02,15233.473330234043
2013-03,15362.739305675865
2013-04,15795.137972922275
2013-05,15984.339098765513
2013-06,15166.551633660114
2013-07,16102.584495142504
2013-08,16019.294297762011
2013-09,16843.54263440223
2013-10,17455.250993598554
2013-11,17633.86962389288
2013-12,18127.017900049155
2014-01,17408.844208799903
2014-02,18576.208081539513
2014-03,18012.088958173306
2014-04,18769.23920116428
2014-05,18919.843924147233
2014-06,19025.545112983044
2014-07,18819.490627412182
2014-08,18872.253011976674
2014-09,17911.821792838153
2014-10,17494.058892764417
2014-11,17725.156962426292
2014-12,17203.747763275212
2015-01,17092.2441438149
2015-02,18120.486959073798
2015-03,17017.061731588336
2015-04,18312.273181560337
2015-05,18234.60971567053
2015-06,17593.02233833301
2015-07,17903.583192922688
2015-08,16662.317793250055
2015-09,15928.087030402954
2015-10,16939.677991859247
2015-11,16629.11640137149
2015-12,16152.113235072473
2016-01,15174.994398449655
2016-02,14833.280587283216
2016-03,15671.557262836975
2016-04,16149.860999155588
2016-05,16228.101914722794
2016-06,15591.542255603537
2016-07,15808.790224216002
2016-08,16023.009204504251
2016-09,16107.320530362524
2016-10,15260.336902573155
2016-11,15346.736885809507
2016-12,15958.876433790183
2017-01,16098.485675987677
2017-02,16505.09005614118
2017-03,16788.163246099208
2017-04,17151.21630529454
2017-05,17861.778734699175
2017-06,17607.307704297345
2017-07,17945.362713131763
2017-08,17880.33680012625
2017-09,18494.29593150743
2017-10,18630.769924276738
2017-11,18601.133716773653
2017-12,19609.450565417843
2018-01,20153.38470219345
