Date,FTSE 100
2020-09,15887.285796097942
2020-10,15291.96151432147
2020-11,17718.56992550022
2020-12,18732.62483007778
2021-01,18696.45834001274
2021-02,19257.74435436715
2021-03,19821.468526739478
2021-04,20856.394250244513
2021-05,21498.98420958034
2021-06,21075.458381774068
2021-07,21266.55612138741
2021-08,21414.251825674175
2021-09,20875.110832145572
2021-10,21854.81531287123
2021-11,20694.60334375344
2021-12,21902.102887158588
2022-01,22044.69258725968
2022-02,22093.011604725038
2022-03,21934.30470082491
2022-04,21154.516054666747
2022-05,21430.11575716372
2022-06,19471.539328301224
2022-07,20250.168586403277
2022-08,19179.90717430772
2022-09,17276.14749472143
2022-10,18555.05690251929
2022-11,20712.51013550162
2022-12,20453.13749053199
2023-01,21829.007599037202
2023-02,21865.717431741436
2023-03,21782.525615686714
2023-04,22711.193632503462
2023-05,21405.25133517092
2023-06,22223.531979099145
2023-07,23091.252248406963
2023-08,22209.52212073228
2023-09,21979.925541021763
2023-10,20997.82603993945
2023-11,22364.38212575463
2023-12,23333.874536916053
