Date,Nordic Countries
1995-06,1400.09
1995-07,1502.226
1995-08,1449.736
1995-09,1568.114
1995-10,1482.942
1995-11,1503.509
1995-12,1458.837
1996-01,1442.888
1996-02,1520.752
1996-03,1534.163
1996-04,1531.695
1996-05,1590.622
1996-06,1599.217
1996-07,1559.19
1996-08,1653.406
1996-09,1691.538
1996-10,1754.091
1996-11,1860.319
1996-12,1905.775
1997-01,1973.365
1997-02,1948.951
1997-03,2016.518
1997-04,1900.994
1997-05,2026.214
1997-06,2153.038
1997-07,2271.422
1997-08,2151.47
1997-09,2424.174
1997-10,2235.584
1997-11,2231.012
1997-12,2204.113
1998-01,2242.491
1998-02,2436.849
1998-03,2619.529
1998-04,2756.62
1998-05,2782.132
1998-06,2778.32
1998-07,2843.522
1998-08,2367.789
1998-09,2249.614
1998-10,2442.454
1998-11,2560.861
1998-12,2684.275
1999-01,2841.379
1999-02,2702.582
1999-03,2844.342
1999-04,2954.885
1999-05,2846.515
1999-06,3113.426
1999-07,3223.459
1999-08,3187.386
1999-09,3259.411
1999-10,3631.966
1999-11,4102.105
1999-12,4968.746
2000-01,4929.315
2000-02,5582.875
2000-03,5578.922
2000-04,5555.266
2000-05,5268.659
2000-06,5207.389
2000-07,4867.264
2000-08,4837.517
2000-09,4374.847
2000-10,4201.182
2000-11,4007.471
2000-12,4194.479
2001-01,4095.697
2001-02,3290.841
2001-03,2892.932
2001-04,3397.972
2001-05,3170.649
2001-06,2861.669
2001-07,2865.347
2001-08,2561.277
2001-09,2296.995
2001-10,2557.94
2001-11,2807.502
2001-12,2934.046
2002-01,2698.316
2002-02,2688.62
2002-03,2759.749
2002-04,2450.177
2002-05,2392.677
2002-06,2377.054
2002-07,2049.102
2002-08,2081.639
2002-09,1845.926
2002-10,2127.685
2002-11,2381.381
2002-12,2144.889
2003-01,2025.899
2003-02,1961.284
2003-03,1968.283
2003-04,2311.289
2003-05,2430.196
2003-06,2384.793
2003-07,2428.286
2003-08,2532.648
2003-09,2543.597
2003-10,2779.649
2003-11,2881.623
2003-12,3007.78
2004-01,3205.005
2004-02,3401.552
2004-03,3276.323
2004-04,2991.805
2004-05,3015.449
2004-06,3131.782
2004-07,2943.251
2004-08,2988.84
2004-09,3252.677
2004-10,3354.613
2004-11,3719.565
2004-12,3759.834
2005-01,3614.426
2005-02,3884.723
2005-03,3765.114
2005-04,3636.424
