Date,Shanghai Composite
1997-08,1221.06396484375
1997-09,1097.383056640625
1997-10,1180.3929443359375
1997-11,1139.6280517578125
1997-12,1194.10205078125
1998-01,1222.9129638671875
1998-02,1206.530029296875
1998-03,1243.0159912109375
1998-04,1343.447998046875
1998-05,1411.208984375
1998-06,1339.2020263671875
1998-07,1316.9189453125
1998-08,1150.2230224609375
1998-09,1242.89599609375
1998-10,1217.3160400390625
1998-11,1247.4169921875
1998-12,1146.699951171875
1999-01,1134.6729736328125
1999-02,1090.0870361328125
1999-03,1158.053955078125
1999-04,1120.927001953125
1999-05,1279.3260498046875
1999-06,1689.427978515625
1999-07,1601.458984375
1999-08,1627.115966796875
1999-09,1570.7020263671875
1999-10,1504.56298828125
1999-11,1434.9730224609375
1999-12,1366.5799560546875
2000-01,1534.9969482421875
2000-02,1714.5780029296875
2000-03,1800.2249755859375
2000-04,1836.321044921875
2000-05,1894.553955078125
2000-06,1928.10595703125
2000-07,2023.5389404296875
2000-08,2021.198974609375
2000-09,1910.1610107421875
2000-10,1961.2869873046875
2000-11,2070.613037109375
2000-12,2073.47705078125
2001-01,2065.60595703125
2001-02,1959.1800537109375
2001-03,2112.77490234375
2001-04,2119.18408203125
2001-05,2214.257080078125
2001-06,2218.029052734375
2001-07,1920.3179931640625
2001-08,1834.137939453125
2001-09,1764.866943359375
2001-10,1689.1700439453125
2001-11,1747.9930419921875
2001-12,1645.970947265625
2002-01,1491.6650390625
2002-02,1524.7010498046875
2002-03,1603.905029296875
2002-04,1667.7490234375
2002-05,1515.7330322265625
2002-06,1732.7550048828125
2002-07,1651.593994140625
2002-08,1666.6180419921875
2002-09,1581.6180419921875
2002-10,1507.4959716796875
2002-11,1434.1820068359375
2002-12,1357.654052734375
2003-01,1499.81494140625
2003-02,1511.9320068359375
2003-03,1510.5780029296875
2003-04,1521.4439697265625
2003-05,1576.260986328125
2003-06,1486.0240478515625
2003-07,1476.741943359375
2003-08,1421.9830322265625
2003-09,1367.1610107421875
2003-10,1348.302978515625
2003-11,1397.2249755859375
2003-12,1497.0439453125
2004-01,1590.72900390625
2004-02,1675.0670166015625
2004-03,1741.623046875
2004-04,1595.5870361328125
2004-05,1555.906005859375
2004-06,1399.1619873046875
2004-07,1386.2020263671875
2004-08,1342.06201171875
2004-09,1396.699951171875
2004-10,1320.5360107421875
2004-11,1340.77099609375
2004-12,1266.4959716796875
2005-01,1191.822998046875
2005-02,1306.0030517578125
2005-03,1181.2359619140625
2005-04,1159.14599609375
2005-05,1060.738037109375
2005-06,1080.93798828125
2005-07,1083.032958984375
2005-08,1162.7979736328125
2005-09,1155.614013671875
2005-10,1092.8170166015625
2005-11,1099.260986328125
2005-12,1161.0570068359375
2006-01,1258.0460205078125
2006-02,1299.030029296875
2006-03,1298.2950439453125
2006-04,1440.2230224609375
2006-05,1641.300048828125
2006-06,1672.2110595703125
2006-07,1612.7330322265625
2006-08,1658.637939453125
2006-09,1752.4239501953125
2006-10,1837.9930419921875
2006-11,2099.2890625
2006-12,2675.47412109375
2007-01,2786.3349609375
2007-02,2881.072998046875
2007-03,3183.98291015625
2007-04,3841.27197265625
2007-05,4109.65380859375
2007-06,3820.702880859375
2007-07,4471.0322265625
2007-08,5218.8251953125
2007-09,5552.30078125
2007-10,5954.76513671875
2007-11,4871.77783203125
2007-12,5261.56298828125
2008-01,4383.39306640625
2008-02,4348.54296875
2008-03,3472.712890625
2008-04,3693.10595703125
2008-05,3433.35400390625
2008-06,2736.10302734375
2008-07,2775.717041015625
2008-08,2397.368896484375
2008-09,2293.783935546875
2008-10,1728.7860107421875
2008-11,1871.156005859375
2008-12,1820.8050537109375
2009-01,1990.656982421875
2009-02,2082.85205078125
2009-03,2373.212890625
2009-04,2477.569091796875
2009-05,2632.929931640625
2009-06,2959.362060546875
2009-07,3412.06201171875
2009-08,2667.7451171875
2009-09,2779.426025390625
2009-10,2995.847900390625
2009-11,3195.301025390625
2009-12,3277.138916015625
2010-01,2989.2919921875
2010-02,3051.943115234375
2010-03,3109.10498046875
2010-04,2870.611083984375
2010-05,2592.14599609375
2010-06,2398.3701171875
2010-07,2637.5029296875
2010-08,2638.798095703125
2010-09,2655.657958984375
2010-10,2978.8349609375
2010-11,2820.180908203125
2010-12,2808.076904296875
2011-01,2790.694091796875
2011-02,2905.052978515625
2011-03,2928.111083984375
2011-04,2911.510009765625
2011-05,2743.471923828125
2011-06,2762.075927734375
2011-07,2701.72900390625
2011-08,2567.340087890625
2011-09,2359.218994140625
2011-10,2468.25
2011-11,2333.4140625
2011-12,2199.4169921875
2012-01,2292.610107421875
2012-02,2428.487060546875
2012-03,2262.7880859375
2012-04,2396.31591796875
2012-05,2372.23388671875
2012-06,2225.429931640625
2012-07,2103.635009765625
2012-08,2047.52197265625
2012-09,2086.1689453125
2012-10,2068.8798828125
2012-11,1980.116943359375
2012-12,2269.1279296875
2013-01,2385.422119140625
2013-02,2365.593017578125
2013-03,2236.62109375
2013-04,2177.912109375
2013-05,2300.594970703125
2013-06,1979.2060546875
2013-07,1993.7989501953125
2013-08,2098.382080078125
2013-09,2174.6650390625
2013-10,2141.614013671875
2013-11,2220.50390625
2013-12,2115.97802734375
2014-01,2033.0830078125
2014-02,2056.302001953125
2014-03,2033.3060302734375
2014-04,2026.3580322265625
2014-05,2039.2120361328125
2014-06,2048.326904296875
2014-07,2201.56201171875
2014-08,2217.199951171875
2014-09,2363.8701171875
2014-10,2420.177978515625
2014-11,2682.9189453125
2014-12,3234.677001953125
2015-01,3210.363037109375
2015-02,3310.302978515625
2015-03,3747.89892578125
2015-04,4441.65478515625
2015-05,4611.744140625
2015-06,4277.22216796875
2015-07,3663.72607421875
2015-08,3205.986083984375
2015-09,3052.781005859375
2015-10,3382.56103515625
2015-11,3445.405029296875
2015-12,3539.181884765625
2016-01,2737.60009765625
2016-02,2687.97900390625
2016-03,3003.9150390625
2016-04,2938.323974609375
2016-05,2916.615966796875
2016-06,2929.60595703125
2016-07,2979.339111328125
2016-08,3085.490966796875
2016-09,3004.702880859375
2016-10,3100.491943359375
