Date,Nasdaq Composite
1985-01,278.70001220703125
1985-02,284.20001220703125
1985-03,279.20001220703125
1985-04,280.6000061035156
1985-05,290.79998779296875
1985-06,296.20001220703125
1985-07,301.29998779296875
1985-08,297.70001220703125
1985-09,280.29998779296875
1985-10,292.5
1985-11,314.0
1985-12,324.8999938964844
1986-01,335.79998779296875
1986-02,359.5
1986-03,374.70001220703125
1986-04,383.20001220703125
1986-05,400.20001220703125
1986-06,405.5
1986-07,371.3999938964844
1986-08,382.8999938964844
1986-09,350.70001220703125
1986-10,360.79998779296875
1986-11,359.6000061035156
1986-12,348.79998779296875
1987-01,392.1000061035156
1987-02,425.0
1987-03,430.1000061035156
1987-04,417.79998779296875
1987-05,416.5
1987-06,424.70001220703125
1987-07,434.8999938964844
1987-08,455.0
1987-09,444.29998779296875
1987-10,323.29998779296875
1987-11,305.20001220703125
1987-12,330.5
1988-01,344.70001220703125
1988-02,367.0
1988-03,374.6000061035156
1988-04,379.20001220703125
1988-05,370.29998779296875
1988-06,394.70001220703125
1988-07,387.29998779296875
1988-08,376.6000061035156
1988-09,387.70001220703125
1988-10,382.5
1988-11,371.5
1988-12,381.3999938964844
1989-01,401.29998779296875
1989-02,399.70001220703125
1989-03,406.70001220703125
1989-04,427.6000061035156
1989-05,446.20001220703125
1989-06,435.29998779296875
1989-07,453.79998779296875
1989-08,469.29998779296875
1989-09,472.8999938964844
1989-10,455.6000061035156
1989-11,456.1000061035156
1989-12,454.79998779296875
1990-01,415.79998779296875
1990-02,425.79998779296875
1990-03,435.5
1990-04,420.1000061035156
1990-05,459.0
1990-06,462.29998779296875
1990-07,438.20001220703125
1990-08,381.20001220703125
1990-09,344.5
1990-10,329.79998779296875
1990-11,359.1000061035156
1990-12,373.79998779296875
1991-01,414.20001220703125
1991-02,453.1000061035156
1991-03,482.29998779296875
1991-04,484.7200012207031
1991-05,506.1099853515625
1991-06,475.9200134277344
1991-07,502.0400085449219
1991-08,525.6799926757812
1991-09,526.8800048828125
1991-10,542.97998046875
1991-11,523.9000244140625
1991-12,586.3400268554688
1992-01,620.2100219726562
1992-02,633.469970703125
1992-03,603.77001953125
1992-04,578.6799926757812
1992-05,585.3099975585938
1992-06,563.5999755859375
1992-07,580.8300170898438
1992-08,563.1199951171875
1992-09,583.27001953125
1992-10,605.1699829101562
1992-11,652.72998046875
1992-12,676.9500122070312
1993-01,696.3400268554688
1993-02,670.77001953125
1993-03,690.1300048828125
1993-04,661.4199829101562
1993-05,700.530029296875
1993-06,703.9500122070312
1993-07,704.7000122070312
1993-08,742.8400268554688
1993-09,762.780029296875
1993-10,779.260009765625
1993-11,754.3900146484375
1993-12,776.7999877929688
1994-01,800.469970703125
1994-02,792.5
1994-03,743.4600219726562
1994-04,733.8400268554688
1994-05,735.1900024414062
1994-06,705.9600219726562
1994-07,722.1599731445312
1994-08,765.6199951171875
1994-09,764.2899780273438
1994-10,777.489990234375
1994-11,750.3200073242188
1994-12,751.9600219726562
1995-01,755.2000122070312
1995-02,793.72998046875
1995-03,817.2100219726562
1995-04,843.97998046875
1995-05,864.5800170898438
1995-06,933.4500122070312
1995-07,1001.2100219726562
1995-08,1020.1099853515625
1995-09,1043.5400390625
1995-10,1036.06005859375
1995-11,1059.199951171875
1995-12,1052.1300048828125
1996-01,1059.7900390625
1996-02,1100.050048828125
1996-03,1101.4000244140625
1996-04,1190.52001953125
1996-05,1243.4300537109375
1996-06,1185.02001953125
1996-07,1080.5899658203125
1996-08,1141.5
1996-09,1226.9200439453125
1996-10,1221.510009765625
1996-11,1292.6099853515625
1996-12,1291.030029296875
1997-01,1379.8499755859375
1997-02,1309.0
1997-03,1221.699951171875
1997-04,1260.760009765625
1997-05,1400.3199462890625
1997-06,1442.0699462890625
1997-07,1593.81005859375
1997-08,1587.3199462890625
1997-09,1685.68994140625
1997-10,1593.6099853515625
1997-11,1600.550048828125
1997-12,1570.3499755859375
1998-01,1619.3599853515625
1998-02,1770.510009765625
1998-03,1835.6800537109375
1998-04,1868.4100341796875
1998-05,1778.8699951171875
1998-06,1894.739990234375
1998-07,1872.3900146484375
1998-08,1499.25
1998-09,1693.8399658203125
1998-10,1771.3900146484375
1998-11,1949.5400390625
1998-12,2192.68994140625
1999-01,2505.889892578125
1999-02,2288.030029296875
1999-03,2461.39990234375
1999-04,2542.860107421875
1999-05,2470.52001953125
1999-06,2686.1201171875
1999-07,2638.489990234375
1999-08,2739.35009765625
1999-09,2746.159912109375
1999-10,2966.429931640625
1999-11,3336.159912109375
1999-12,4069.31005859375
2000-01,3940.35009765625
2000-02,4696.68994140625
2000-03,4572.830078125
2000-04,3860.659912109375
2000-05,3400.909912109375
2000-06,3966.110107421875
2000-07,3766.989990234375
2000-08,4206.35009765625
2000-09,3672.820068359375
2000-10,3369.6298828125
2000-11,2597.929931640625
2000-12,2470.52001953125
2001-01,2772.72998046875
2001-02,2151.830078125
2001-03,1840.260009765625
2001-04,2116.239990234375
2001-05,2110.489990234375
2001-06,2160.5400390625
2001-07,2027.1300048828125
2001-08,1805.4300537109375
2001-09,1498.800048828125
2001-10,1690.199951171875
2001-11,1930.5799560546875
2001-12,1950.4000244140625
2002-01,1934.030029296875
2002-02,1731.489990234375
2002-03,1845.3499755859375
2002-04,1688.22998046875
2002-05,1615.72998046875
2002-06,1463.2099609375
2002-07,1328.260009765625
2002-08,1314.8499755859375
2002-09,1172.06005859375
2002-10,1329.75
2002-11,1478.780029296875
2002-12,1335.510009765625
2003-01,1320.9100341796875
2003-02,1337.52001953125
2003-03,1341.1700439453125
2003-04,1464.31005859375
2003-05,1595.9100341796875
2003-06,1622.800048828125
2003-07,1735.02001953125
2003-08,1810.449951171875
2003-09,1786.93994140625
2003-10,1932.2099609375
2003-11,1960.260009765625
2003-12,2003.3699951171875
2004-01,2066.14990234375
2004-02,2029.8199462890625
2004-03,1994.219970703125
2004-04,1920.1500244140625
2004-05,1986.739990234375
2004-06,2047.7900390625
2004-07,1887.3599853515625
2004-08,1838.0999755859375
2004-09,1896.8399658203125
2004-10,1974.989990234375
2004-11,2096.81005859375
2004-12,2175.43994140625
2005-01,2062.409912109375
2005-02,2051.719970703125
2005-03,1999.22998046875
