Date,iShares Russell 2000 ETF
2018-04,142.14215087890625
2018-05,150.90316772460938
2018-06,151.83026123046875
2018-07,153.7771453857422
2018-08,160.98675537109375
2018-09,156.8276824951172
2018-10,139.9661102294922
2018-11,142.3823699951172
2018-12,124.91809844970703
2019-01,139.5265350341797
2019-02,146.75283813476562
2019-03,143.29879760742188
2019-04,148.5612335205078
2019-05,136.8951873779297
2019-06,145.94271850585938
2019-07,147.4555206298828
2019-08,140.18447875976562
2019-09,142.53909301757812
2019-10,146.9247283935547
2019-11,152.89810180664062
2019-12,156.584228515625
2020-01,152.28269958496094
2020-02,138.812255859375
2020-03,108.57958221435547
2020-04,124.09326171875
2020-05,132.27346801757812
2020-06,136.3492889404297
2020-07,140.8043975830078
2020-08,148.51536560058594
2020-09,143.1262969970703
2020-10,146.83702087402344
2020-11,173.62628173828125
2020-12,188.05194091796875
2021-01,197.7791748046875
2021-02,210.0465850830078
2021-03,212.57704162597656
2021-04,216.78440856933594
2021-05,217.37242126464844
2021-06,221.10293579101562
2021-07,213.40293884277344
2021-08,218.10443115234375
2021-09,211.18247985839844
2021-10,220.82772827148438
2021-11,211.26063537597656
2021-12,215.4050750732422
2022-01,195.45875549316406
2022-02,197.47897338867188
2022-03,199.37298583984375
2022-04,179.98980712890625
2022-05,180.3401641845703
2022-06,164.8179473876953
2022-07,182.7083740234375
2022-08,179.04934692382812
2022-09,160.9199676513672
2022-10,179.8087615966797
2022-11,183.7711639404297
2022-12,171.0110626220703
2023-01,188.66871643066406
2023-02,185.4171905517578
2023-03,175.78077697753906
2023-04,173.2647247314453
2023-05,171.85052490234375
2023-06,185.20140075683594
2023-07,197.05923461914062
2023-08,187.0431365966797
2023-09,175.27175903320312
2023-10,163.9190216064453
2023-11,179.0037078857422
2023-12,199.97682189941406
2024-01,192.8800048828125
2024-02,199.33999633789062
