Date,iShares Russell 2000 ETF
2000-06,37.84927749633789
2000-07,36.82321548461914
2000-08,39.38800048828125
2000-09,37.96818542480469
2000-10,36.39699935913086
2000-11,32.76649856567383
2000-12,35.20216369628906
2001-01,37.26499938964844
2001-02,34.772037506103516
2001-03,33.091609954833984
2001-04,35.897315979003906
2001-05,36.674461364746094
2001-06,37.71067810058594
2001-07,35.71104049682617
2001-08,34.84267807006836
2001-09,29.762279510498047
2001-10,31.5806827545166
2001-11,34.11791229248047
2001-12,35.887115478515625
2002-01,35.93545913696289
2002-02,34.81479263305664
2002-03,37.39230728149414
2002-04,37.884803771972656
2002-05,36.089664459228516
2002-06,33.90185546875
2002-07,29.45463752746582
2002-08,29.267114639282227
2002-09,26.829763412475586
2002-10,28.02914047241211
2002-11,30.403167724609375
2002-12,28.521997451782227
2003-01,28.066370010375977
2003-02,27.22332000732422
2003-03,27.21953773498535
2003-04,30.085468292236328
2003-05,33.35544967651367
2003-06,33.68511199951172
2003-07,35.934173583984375
2003-08,37.653465270996094
2003-09,36.83366012573242
2003-10,40.134727478027344
2003-11,41.63739013671875
2003-12,42.15095520019531
2004-01,44.22502517700195
2004-02,44.64584732055664
2004-03,44.99016571044922
2004-04,42.58527755737305
2004-05,43.50130081176758
2004-06,45.22217559814453
2004-07,42.271427154541016
2004-08,41.63351058959961
2004-09,43.750919342041016
2004-10,44.75536346435547
2004-11,48.87307357788086
2004-12,49.88225173950195
2005-01,48.008811950683594
2005-02,48.79711151123047
2005-03,47.2011833190918
2005-04,44.73162078857422
2005-05,47.623416900634766
2005-06,49.45164108276367
2005-07,52.82490921020508
2005-08,51.766693115234375
2005-09,51.65776062011719
2005-10,49.77872848510742
2005-11,52.643062591552734
2005-12,52.073326110839844
2006-01,56.68564224243164
2006-02,56.86587905883789
2006-03,59.52189254760742
2006-04,59.837913513183594
2006-05,56.437686920166016
2006-06,56.32774353027344
2006-07,54.801822662353516
2006-08,56.44554901123047
2006-09,56.62643814086914
2006-10,60.14521408081055
2006-11,61.5969352722168
2006-12,61.565364837646484
2007-01,62.87251663208008
2007-02,62.46048355102539
2007-03,62.95174026489258
2007-04,64.09685516357422
2007-05,66.89920043945312
2007-06,65.81160736083984
2007-07,61.323822021484375
2007-08,62.62825012207031
2007-09,63.66225051879883
2007-10,65.63501739501953
2007-11,61.11421585083008
2007-12,60.5162353515625
2008-01,56.7520751953125
2008-02,55.08806610107422
2008-03,54.632049560546875
2008-04,57.213314056396484
2008-05,59.833614349365234
2008-06,55.33026123046875
2008-07,57.14922332763672
2008-08,59.41353988647461
2008-09,54.692298889160156
2008-10,43.322593688964844
2008-11,38.15611267089844
2008-12,39.68752670288086
2009-01,36.1240234375
2009-02,31.7952823638916
2009-03,34.15049743652344
2009-04,39.53352737426758
2009-05,40.8779411315918
2009-06,41.619407653808594
2009-07,45.277793884277344
2009-08,46.76911926269531
2009-09,49.2547492980957
2009-10,46.16617202758789
2009-11,47.608619689941406
2009-12,51.173728942871094
2010-01,49.464134216308594
2010-02,51.6777458190918
2010-03,55.7922248840332
2010-04,59.10721969604492
2010-05,54.652496337890625
2010-06,50.42055130004883
2010-07,53.63780975341797
2010-08,49.80844497680664
2010-09,55.86690139770508
2010-10,58.33051300048828
2010-11,60.36336135864258
2010-12,64.91863250732422
2011-01,64.97083282470703
2011-02,68.57157135009766
2011-03,70.15522766113281
2011-04,72.15589141845703
2011-05,70.86125183105469
2011-06,69.15740203857422
2011-07,66.60157775878906
2011-08,60.86216735839844
2011-09,53.86699676513672
2011-10,62.241878509521484
2011-11,62.00638198852539
2011-12,62.02322006225586
2012-01,66.77943420410156
2012-02,68.49497985839844
2012-03,69.98233795166016
2012-04,69.06098937988281
2012-05,64.51737976074219
2012-06,67.44188690185547
2012-07,66.74609375
2012-08,69.1058349609375
2012-09,71.08222198486328
2012-10,69.81137084960938
2012-11,70.19622802734375
2012-12,72.11192321777344
2013-01,77.27391815185547
2013-02,78.05030059814453
2013-03,81.4576416015625
2013-04,81.40122985839844
2013-05,84.6019287109375
2013-06,83.90988159179688
2013-07,89.67111206054688
2013-08,87.21414947509766
2013-09,92.62702941894531
2013-10,95.12116241455078
2013-11,98.88455963134766
2013-12,100.49617004394531
2014-01,98.08473205566406
2014-02,102.77204895019531
2014-03,101.74015045166016
2014-04,98.18014526367188
2014-05,98.95172119140625
2014-06,104.16844940185547
2014-07,97.48751831054688
2014-08,102.58808135986328
2014-09,96.24234771728516
2014-10,102.86993408203125
2014-11,102.98464965820312
2014-12,105.57051849365234
2015-01,102.491455078125
2015-02,108.58600616455078
2015-03,110.17166137695312
2015-04,107.67352294921875
2015-05,110.08148193359375
2015-06,110.94337463378906
2015-07,109.255126953125
2015-08,102.79426574707031
2015-09,97.4404067993164
2015-10,103.21451568603516
2015-11,106.57923889160156
2015-12,100.78050231933594
2016-01,92.5359115600586
2016-02,92.32919311523438
2016-03,99.42935943603516
2016-04,101.39564514160156
2016-05,103.66730499267578
2016-06,103.64928436279297
2016-07,109.13912200927734
2016-08,111.69638061523438
2016-09,112.58466339111328
2016-10,107.70591735839844
2016-11,119.62177276611328
2016-12,122.56660461425781
2017-01,123.4189682006836
2017-02,125.80101013183594
2017-03,125.4724349975586
2017-04,127.27994537353516
2017-05,124.77205657958984
2017-06,128.98236083984375
2017-07,129.52235412597656
2017-08,128.44561767578125
2017-09,136.21316528320312
2017-10,137.53822326660156
2017-11,141.58343505859375
2017-12,140.48690795898438
2018-01,144.62657165527344
2018-02,139.06756591796875
2018-03,140.43650817871094
