Date,OMX
2008-12,662.3300170898438
2009-01,617.3800048828125
2009-02,640.3900146484375
2009-03,653.0499877929688
2009-04,763.8900146484375
2009-05,776.5
2009-06,795.7999877929688
2009-07,882.0499877929688
2009-08,904.8400268554688
2009-09,896.760009765625
2009-10,944.6699829101562
2009-11,936.1900024414062
2009-12,951.719970703125
2010-01,953.7100219726562
2010-02,947.3900146484375
2010-03,1021.0800170898438
2010-04,1053.8800048828125
2010-05,980.6300048828125
2010-06,1005.9299926757812
2010-07,1047.260009765625
2010-08,1011.7000122070312
2010-09,1087.7099609375
2010-10,1089.3199462890625
2010-11,1107.050048828125
2010-12,1155.5699462890625
2011-01,1147.219970703125
2011-02,1128.6600341796875
2011-03,1134.8699951171875
2011-04,1162.8399658203125
2011-05,1151.3599853515625
2011-06,1115.22998046875
2011-07,1065.969970703125
2011-08,954.6300048828125
2011-09,910.1699829101562
2011-10,990.4400024414062
2011-11,979.3599853515625
2011-12,987.8499755859375
2012-01,1036.3399658203125
2012-02,1101.760009765625
2012-03,1074.47998046875
2012-04,1059.6199951171875
2012-05,975.97998046875
2012-06,1019.0599975585938
2012-07,1068.1600341796875
2012-08,1043.9300537109375
2012-09,1072.449951171875
2012-10,1052.1099853515625
2012-11,1085.8499755859375
2012-12,1104.72998046875
2013-01,1169.1700439453125
2013-02,1199.4000244140625
2013-03,1201.18994140625
2013-04,1198.989990234375
2013-05,1214.77001953125
2013-06,1151.0
2013-07,1234.0699462890625
2013-08,1214.3499755859375
2013-09,1259.5999755859375
2013-10,1283.52001953125
2013-11,1307.7099609375
2013-12,1332.949951171875
2014-01,1304.449951171875
2014-02,1369.1300048828125
2014-03,1364.969970703125
2014-04,1364.3900146484375
2014-05,1402.0799560546875
2014-06,1376.81005859375
2014-07,1379.8699951171875
2014-08,1388.8900146484375
2014-09,1403.0
2014-10,1412.8399658203125
2014-11,1461.3399658203125
2014-12,1464.550048828125
2015-01,1573.6199951171875
2015-02,1691.030029296875
2015-03,1667.72998046875
2015-04,1628.0400390625
2015-05,1644.989990234375
2015-06,1541.6600341796875
2015-07,1615.6400146484375
2015-08,1501.0699462890625
2015-09,1416.8900146484375
2015-10,1499.22998046875
2015-11,1536.050048828125
2015-12,1446.8199462890625
2016-01,1356.3199462890625
2016-02,1372.5400390625
2016-03,1365.699951171875
2016-04,1360.7099609375
2016-05,1369.47998046875
2016-06,1323.5799560546875
2016-07,1386.6600341796875
2016-08,1418.1400146484375
2016-09,1439.0799560546875
2016-10,1446.3499755859375
2016-11,1481.1400146484375
2016-12,1517.199951171875
2017-01,1536.75
2017-02,1570.1700439453125
2017-03,1587.6300048828125
2017-04,1626.989990234375
2017-05,1639.1099853515625
2017-06,1602.530029296875
2017-07,1548.18994140625
2017-08,1546.8599853515625
2017-09,1637.8199462890625
2017-10,1671.6300048828125
2017-11,1610.1099853515625
2017-12,1576.93994140625
2018-01,1593.1500244140625
2018-02,1583.3900146484375
2018-03,1535.3499755859375
2018-04,1570.7099609375
2018-05,1549.93994140625
2018-06,1558.8800048828125
2018-07,1615.5999755859375
2018-08,1658.1600341796875
2018-09,1662.3599853515625
2018-10,1538.219970703125
2018-11,1514.6300048828125
2018-12,1408.739990234375
2019-01,1515.4200439453125
2019-02,1572.6800537109375
2019-03,1553.4200439453125
2019-04,1676.1400146484375
2019-05,1510.4599609375
2019-06,1622.4300537109375
2019-07,1599.780029296875
2019-08,1576.97998046875
2019-09,1647.6700439453125
2019-10,1733.6800537109375
2019-11,1730.25
2019-12,1771.8499755859375
2020-01,1783.260009765625
2020-02,1668.8399658203125
2020-03,1482.4300537109375
2020-04,1577.9200439453125
2020-05,1629.760009765625
2020-06,1664.3800048828125
2020-07,1707.3499755859375
2020-08,1766.3299560546875
2020-09,1829.4000244140625
2020-10,1717.6199951171875
2020-11,1917.5400390625
2020-12,1874.739990234375
2021-01,1948.7900390625
2021-02,2009.9000244140625
2021-03,2192.860107421875
2021-04,2217.02001953125
2021-05,2241.8701171875
2021-06,2263.1298828125
2021-07,2369.889892578125
2021-08,2351.25
2021-09,2259.179931640625
2021-10,2290.85009765625
2021-11,2241.659912109375
2021-12,2419.72998046875
2022-01,2290.159912109375
2022-02,2134.070068359375
2022-03,2095.169921875
2022-04,2058.89990234375
2022-05,2042.6400146484375
2022-06,1872.6800537109375
2022-07,2032.530029296875
2022-08,1920.22998046875
2022-09,1828.97998046875
2022-10,1968.530029296875
2022-11,2102.419921875
2022-12,2043.4000244140625
2023-01,2198.5400390625
2023-02,2226.75
2023-03,2223.75
2023-04,2270.580078125
2023-05,2234.9599609375
2023-06,2309.89990234375
2023-07,2250.919921875
2023-08,2184.739990234375
2023-09,2155.489990234375
2023-10,2075.7900390625
2023-11,2232.4599609375
2023-12,2398.169921875
2024-01,2370.129638671875

