Date,Vanguard FTSE Developed Markets ETF
2007-08,28.988252639770508
2007-09,30.36921501159668
2007-10,31.713842391967773
2007-11,30.5206241607666
2007-12,29.024580001831055
2008-01,27.47528839111328
2008-02,27.196704864501953
2008-03,27.28955078125
2008-04,28.767333984375
2008-05,29.114147186279297
2008-06,26.587331771850586
2008-07,25.6645450592041
2008-08,24.636476516723633
2008-09,21.781417846679688
2008-10,17.303756713867188
2008-11,16.158016204833984
2008-12,17.012676239013672
2009-01,15.146404266357422
2009-02,13.620223045349121
2009-03,14.755237579345703
2009-04,16.51338768005371
2009-05,18.66982078552246
2009-06,18.329662322998047
2009-07,20.26788902282715
2009-08,21.179231643676758
2009-09,22.013572692871094
2009-10,21.40386390686035
2009-11,22.283124923706055
2009-12,21.949392318725586
2010-01,21.23916244506836
2010-02,21.39678192138672
2010-03,22.736541748046875
2010-04,22.113157272338867
2010-05,19.564167022705078
2010-06,19.20941162109375
2010-07,21.44963836669922
2010-08,20.68099021911621
2010-09,22.678142547607422
2010-10,23.597875595092773
2010-11,22.441635131835938
2010-12,23.748977661132812
2011-01,24.862274169921875
2011-02,25.77112579345703
2011-03,25.118099212646484
2011-04,26.68195152282715
2011-05,25.961362838745117
2011-06,25.644855499267578
2011-07,25.032011032104492
2011-08,22.883716583251953
2011-09,20.29094123840332
2011-10,22.2708797454834
2011-11,21.806203842163086
2011-12,20.627676010131836
2012-01,22.538484573364258
2012-02,23.639278411865234
2012-03,23.708946228027344
2012-04,23.152114868164062
2012-05,20.566486358642578
2012-06,22.00217056274414
2012-07,22.057924270629883
2012-08,22.782739639282227
2012-09,22.9151554107666
2012-10,23.630876541137695
2012-11,24.270896911621094
2012-12,25.053138732910156
2013-01,26.27051544189453
2013-02,25.96888542175293
2013-03,26.16279411315918
2013-04,27.64899253845215
2013-05,26.82666778564453
2013-06,25.679738998413086
2013-07,27.43194580078125
2013-08,26.992443084716797
2013-09,28.992158889770508
2013-10,30.045578002929688
2013-11,30.244165420532227
2013-12,30.656049728393555
2014-01,29.213754653930664
2014-02,30.951343536376953
2014-03,30.51510238647461
2014-04,31.327716827392578
2014-05,31.880741119384766
2014-06,31.828418731689453
2014-07,31.447059631347656
2014-08,31.53026580810547
2014-09,30.063034057617188
2014-10,30.11443328857422
2014-11,30.11443328857422
2014-12,28.799169540405273
2015-01,29.185760498046875
2015-02,30.983564376831055
2015-03,30.471006393432617
2015-04,31.789445877075195
2015-05,31.774072647094727
2015-06,30.467769622802734
2015-07,31.300466537475586
2015-08,29.036365509033203
2015-09,27.72926902770996
2015-10,29.72712516784668
2015-11,29.500499725341797
2015-12,28.695571899414062
2016-01,27.274978637695312
2016-02,26.43368911743164
2016-03,28.210609436035156
2016-04,28.989974975585938
2016-05,28.903108596801758
2016-06,27.923873901367188
2016-07,29.484622955322266
2016-08,29.60470199584961
2016-09,29.948951721191406
2016-10,29.365692138671875
2016-11,28.923320770263672
2016-12,29.38982582092285
2017-01,30.71817398071289
2017-02,31.04254913330078
2017-03,31.869699478149414
2017-04,32.70018005371094
2017-05,33.8154296875
2017-06,33.63633728027344
2017-07,35.010990142822266
2017-08,35.019229888916016
2017-09,35.75223159790039
2017-10,36.536495208740234
2017-11,36.85074996948242
2017-12,37.0988655090332
2018-01,39.23898696899414
2018-02,37.234867095947266
2018-03,36.95093536376953
2018-04,37.55906677246094
2018-05,37.022621154785156
2018-06,35.95813751220703
2018-07,37.24229431152344
2018-08,36.597251892089844
2018-09,36.72456359863281
2018-10,33.68870544433594
2018-11,33.85906219482422
2018-12,31.60179901123047
2019-01,34.321170806884766
2019-02,35.121742248535156
2019-03,35.1819953918457
2019-04,36.335914611816406
2019-05,34.44261169433594
2019-06,36.059268951416016
2019-07,35.71769714355469
2019-08,35.04460525512695
2019-09,35.91001510620117
2019-10,37.31088638305664
2019-11,37.81248092651367
2019-12,38.77164840698242
2020-01,37.987892150878906
2020-02,35.08147048950195
2020-03,29.63304901123047
2020-04,31.854759216308594
2020-05,33.63141632080078
2020-06,34.63133239746094
2020-07,35.72306823730469
2020-08,37.57158660888672
2020-09,36.701171875
2020-10,35.587371826171875
2020-11,40.675148010253906
2020-12,42.587581634521484
2021-01,42.65575408935547
2021-02,43.69325256347656
2021-03,44.69435119628906
2021-04,46.27438735961914
2021-05,47.92932891845703
2021-06,47.10643005371094
2021-07,47.72737503051758
2021-08,48.354156494140625
2021-09,46.5383415222168
2021-10,48.22528839111328
2021-11,45.98612976074219
2021-12,47.244503021240234
2022-01,46.12562561035156
2022-02,44.90413284301758
2022-03,45.129638671875
2022-04,42.13901901245117
2022-05,42.83552932739258
2022-06,38.402320861816406
2022-07,40.96729278564453
2022-08,38.5832633972168
2022-09,34.67344284057617
2022-10,36.89283752441406
2022-11,41.522377014160156
2022-12,40.144996643066406
2023-01,44.283897399902344
2023-02,42.74518585205078
2023-03,43.71292495727539
2023-04,45.03324890136719
2023-05,43.352760314941406
2023-06,44.858402252197266
2023-07,46.694366455078125
2023-08,44.851295471191406
2023-09,42.861175537109375
2023-10,41.69294357299805
2023-11,45.36476135253906
2023-12,47.279640197753906
2024-01,47.380001068115234
2024-02,47.63999938964844
