Date,MSCI China
1992-12,10000
1993-01,9887.999999999998
1993-02,10881.599999999999
1993-03,9716.3
1993-04,9180.599999999999
1993-05,8631.199999999999
1993-06,8230.599999999999
1993-07,7257.199999999999
1993-08,8487.2
1993-09,9058.399999999998
1993-10,9934.5
1993-11,10752.899999999998
1993-12,13369.300000000001
1994-01,11593.399999999996
1994-02,10969.399999999998
1994-03,8967.499999999998
1994-04,8762.499999999998
1994-05,9168.199999999999
1994-06,8172.799999999999
1994-07,9126.999999999998
1994-08,9652
1994-09,9779.199999999999
1994-10,9401.699999999999
1994-11,8176.799999999999
1994-12,7163.499999999999
1995-01,6174.199999999999
1995-02,6881.999999999998
1995-03,6893.199999999999
1995-04,6168.599999999999
1995-05,7269.699999999999
1995-06,7184.699999999999
1995-07,7543.0999999999985
1995-08,7104.3
1995-09,6795.199999999999
1995-10,6374.099999999999
1995-11,5925.199999999999
1995-12,5650.9
1996-01,6516.299999999999
1996-02,6709.499999999999
1996-03,6400.999999999999
1996-04,6062.299999999999
1996-05,6340.499999999999
1996-06,6441.299999999999
1996-07,6216.099999999999
1996-08,6195.999999999999
1996-09,6124.299999999999
1996-10,5973.899999999999
1996-11,6663.699999999999
1996-12,7767.899999999999
1997-01,7595.399999999998
1997-02,7818.999999999999
1997-03,7593
1997-04,8595.999999999998
1997-05,8498.999999999998
1997-06,8689.099999999999
1997-07,9879
1997-08,10461.699999999999
1997-09,8722.099999999999
1997-10,7305.5999999999985
1997-11,5983.199999999999
1997-12,5806.199999999999
1998-01,4329.3
1998-02,5865.499999999999
1998-03,5714.099999999999
1998-04,5125.5999999999985
1998-05,4452.899999999999
1998-06,3758.5999999999995
1998-07,3078.5999999999995
1998-08,2244.7
1998-09,3214.5999999999995
1998-10,3534.6999999999994
1998-11,3646.9999999999995
1998-12,3346.2999999999997
1999-01,2724.2999999999997
1999-02,2608.8999999999996
1999-03,2963.3999999999996
1999-04,3707.5999999999995
1999-05,3716.4999999999995
1999-06,5457.199999999999
1999-07,4775.599999999999
1999-08,4737.499999999999
1999-09,4547.999999999999
1999-10,4180.799999999999
1999-11,4101.099999999999
1999-12,3792.4999999999995
2000-01,3627
2000-02,2961.1999999999994
2000-03,3028.9999999999995
2000-04,3314.8999999999996
2000-05,3374.0999999999995
2000-06,3824.8999999999996
2000-07,3752.4999999999995
2000-08,3599.7999999999993
2000-09,3161.8999999999996
2000-10,3014.3999999999996
2000-11,2612.9999999999995
2000-12,2634.3999999999996
2001-01,3016.3999999999996
2001-02,2741.2
2001-03,2296.5999999999995
2001-04,2529.7
2001-05,2598.6999999999994
2001-06,2684.3999999999996
2001-07,2320.7999999999993
2001-08,1818.4999999999998
2001-09,1756.5999999999997
2001-10,1801.3999999999996
2001-11,1976.9999999999998
2001-12,1983.5999999999995
2002-01,1797.4999999999998
2002-02,1811.9999999999998
2002-03,1914.1999999999998
2002-04,1997.8999999999996
2002-05,2028.4999999999998
2002-06,1960.3
2002-07,1874.6999999999998
2002-08,1838.1999999999998
2002-09,1691.7999999999997
2002-10,1701.4999999999998
2002-11,1771.8999999999996
2002-12,1704.9999999999998
2003-01,1786.4999999999995
2003-02,1741.9999999999995
2003-03,1674.8999999999999
2003-04,1677.0999999999997
2003-05,1891.4
2003-06,2012.5999999999997
2003-07,2212.1
2003-08,2359.2999999999997
2003-09,2377.5999999999995
2003-10,2738.8999999999996
2003-11,2766.3999999999996
2003-12,3197.9999999999995
2004-01,3177.4
2004-02,3375.1999999999994
2004-03,3090.7999999999997
2004-04,2686.9999999999995
2004-05,2871.4999999999995
2004-06,2853.9
2004-07,2864.4999999999995
2004-08,2876.2999999999997
2004-09,3089.4999999999995
2004-10,3014.1999999999994
2004-11,3317.5999999999995
2004-12,3258.4
2005-01,3187.4999999999995
2005-02,3423.5999999999995
2005-03,3247.1999999999994
2005-04,3260.499999999999
2005-05,3292.199999999999
2005-06,3429.5999999999995
2005-07,3678.3999999999996
2005-08,3698.5999999999995
2005-09,3916.0999999999995
2005-10,3532.4999999999995
2005-11,3781.1999999999994
2005-12,3902.5
2006-01,4451.7
2006-02,4591.899999999998
2006-03,4738.599999999999
2006-04,4986.9
2006-05,4729.799999999999
2006-06,4827.699999999999
2006-07,4955.799999999999
2006-08,5063.9
2006-09,5252.299999999999
2006-10,5614.699999999999
2006-11,6228.399999999999
2006-12,7136.5999999999985
2007-01,6834.099999999998
2007-02,6713.999999999999
2007-03,6972.799999999999
2007-04,7235.199999999999
2007-05,7780.299999999999
2007-06,8677.7
2007-07,9575.8
2007-08,10265.699999999999
2007-09,12312.599999999999
2007-10,14355.799999999997
2007-11,12415.599999999999
2007-12,11863.499999999998
2008-01,9305.699999999999
2008-02,10308.799999999997
2008-03,9053.499999999998
2008-04,10466.699999999999
2008-05,9947.899999999998
2008-06,8740.3
2008-07,8941.699999999999
2008-08,8209.999999999998
2008-09,6536.099999999999
2008-10,5049.599999999999
2008-11,5279.4
2008-12,5833.700000000001
2009-01,5349.299999999999
2009-02,5179.599999999999
2009-03,5911.399999999999
2009-04,6567.899999999999
2009-05,7709.899999999999
2009-06,8028.299999999999
2009-07,8898.099999999999
2009-08,8272.599999999999
2009-09,8659.399999999998
2009-10,9217.4
2009-11,9443.8
2009-12,9487.399999999998
2010-01,8668.099999999999
2010-02,8858.199999999997
2010-03,9337.999999999996
2010-04,9306.899999999998
2010-05,8808.1
2010-06,8919.999999999998
2010-07,9309.699999999999
2010-08,9053.499999999996
2010-09,9877.199999999999
2010-10,10261.699999999999
2010-11,10017.599999999999
