Date,Nasdaq-100
2007-07,10000
2007-08,10299.276823481256
2007-09,10828.54500523052
2007-10,11593.21194479399
2007-11,10826.574083900605
2007-12,10808.178818154713
2008-01,9550.93315544505
2008-02,9060.47696296184
2008-03,9251.504722630727
2008-04,9953.001106748134
2008-05,10552.565482597776
2008-06,9543.352688791523
2008-07,9606.017879794013
2008-08,9732.914891574059
2008-09,8297.93255406136
2008-10,6956.543711497547
2008-11,6192.281063488935
2008-12,6325.646740146657
2009-01,6163.5763630942465
2009-02,5843.478524537971
2009-03,6465.0767901272
2009-04,7278.966226494236
2009-05,7498.446004336028
2009-06,7714.994668405119
2009-07,8367.420165052028
2009-08,8486.63563728983
2009-09,8972.391940447855
2009-10,8706.014342242908
2009-11,9231.037462666201
2009-12,9710.476710279616
2010-01,9095.700864678562
2010-02,9504.742845302892
2010-03,10227.565608938887
2010-04,10448.864698777523
2010-05,9690.86856986916
2010-06,9109.042485988772
2010-07,9755.50468220157
2010-08,9264.492588830435
2010-09,10457.860185873042
2010-10,11112.863041182149
2010-11,11089.767886111069
2010-12,11610.49540876403
2011-01,11942.772530410306
2011-02,12308.151023110317
2011-03,12248.518018769235
2011-04,12588.325070624682
2011-05,12534.30161160721
2011-06,12293.798672912972
2011-07,12492.00260768053
2011-08,11877.024616302046
2011-09,11353.66919854253
2011-10,12509.589290316711
2011-11,12183.123859771476
2011-12,12094.129181259064
2012-01,13106.424698171086
2012-02,13947.351132269036
2012-03,14652.789359046277
2012-04,14489.809325995442
2012-05,13448.960718021797
2012-06,13940.276030059076
2012-07,14086.47796358344
2012-08,14800.810604567481
2012-09,14950.954380751675
2012-10,14243.494696200165
2012-11,14338.30106581361
2012-12,14257.948119286224
2013-01,14637.426279961795
2013-02,14698.878596299726
2013-03,15135.614548431598
2013-04,15510.696038448124
2013-05,16042.996406858807
2013-06,15664.832193736513
2013-07,16645.694042258576
2013-08,16585.959965028782
2013-09,17370.993091668057
2013-10,18238.75437771949
2013-11,18868.89330240503
2013-12,19438.74224897285
2014-01,19065.17685228703
2014-02,20037.49804171278
2014-03,19501.457976419697
2014-04,19434.800406313014
2014-05,20306.04870702507
2014-06,20928.556628612725
2014-07,21170.019759749746
2014-08,22235.58068901388
2014-09,22064.615897754666
2014-10,22660.996477609828
2014-11,23670.41141719351
2014-12,23121.029730590217
2015-01,22649.373095407755
2015-02,24273.21012548199
2015-03,23702.14830424961
2015-04,24147.47545192215
2015-05,24692.915295865612
2015-06,24095.11969556846
2015-07,25156.68824572841
2015-08,23466.496864213623
2015-09,22960.424910424153
2015-10,25537.985718400825
2015-11,25663.11395462838
2015-12,25279.138050405047
2016-01,23558.574265831805
2016-02,23166.20931184524
2016-03,24729.958509579184
2016-04,23953.920870035432
2016-05,25002.804772661802
2016-06,24423.60658388797
2016-07,26161.10007732076
2016-08,26426.214264416783
2016-09,27013.700430065142
2016-10,26609.156192988576
2016-11,26705.42811948837
2016-12,27007.585520297962
2017-01,28421.039332514643
2017-02,29646.093280168992
2017-03,30247.67911379291
2017-04,31077.48753013236
2017-05,32259.585500083387
2017-06,31481.021038321785
2017-07,32790.52138449643
2017-08,33438.39860115122
2017-09,33395.84691500275
2017-10,34911.18219904284
2017-11,35611.465708495685
2017-12,35792.03242418269
2018-01,38901.1355539047
2018-02,38409.56755964564
2018-03,36892.059208498205
2018-04,37039.12026157664
2018-05,39120.36264952471
2018-06,39542.544105681816
2018-07,40628.572294910475
2018-08,43048.30778716071
2018-09,42915.44747494656
2018-10,39211.02503070089
2018-11,39159.932685456115
2018-12,35688.33164036245
2019-01,38951.82360759462
2019-02,40070.70048565523
2019-03,41677.254051759424
2019-04,43963.371185130156
2019-05,40318.076380782004
2019-06,43411.412139864675
2019-07,44431.23758698586
2019-08,43584.3478524538
2019-09,43936.132041621815
2019-10,45848.835387639796
2019-11,47709.78941463636
2019-12,49602.68247446646
2020-01,51086.58409011659
2020-02,48118.022812150986
2020-03,44461.45838071125
2020-04,51228.64203520369
2020-05,54439.22234519424
2020-06,57893.53992631786
2020-07,62176.3014397833
2020-08,69099.33948867225
2020-09,65171.09113237011
2020-10,63103.64519373146
2020-11,70090.61184473181
2020-12,73650.24737589512
2021-01,73879.83444260829
2021-02,73832.68394002334
2021-03,74906.07801816279
2021-04,79328.62333671926
2021-05,78382.37895258165
2021-06,83385.23426168782
2021-07,85725.77914563088
2021-08,89347.62503979745
2021-09,84255.47183351274
2021-10,90934.97475704605
2021-11,92625.21667500518
2021-12,93712.50827534277
2022-01,85749.43020158987
2022-02,81826.89246350006
2022-03,85315.22107167583
2022-04,73925.62046119559
2022-05,72764.24243343087
2022-06,66242.564825624
2022-07,74581.48243605877
2022-08,70745.26094493044
2022-09,63272.33584499462
2022-10,65798.50108906037
2022-11,69469.99398616313
2022-12,63196.32903268192
2023-01,69929.3197289225
2023-02,69643.41484861808
2023-03,76270.38008459801
2023-04,76659.6471545455
2023-05,82560.58561631721
2023-06,87952.3441329715
2023-07,91320.68911495525
2023-08,89915.84165921253
2023-09,85386.92723257377
2023-10,83638.14389747166
2023-11,92650.51016540578
2023-12,97765.28853782905
