Date,OMX Oslo 20 (Norway)
2013-04,524.8099975585938
2013-05,536.260009765625
2013-06,512.7100219726562
2013-07,538.760009765625
2013-08,542.3599853515625
2013-09,551.8599853515625
2013-10,582.739990234375
2013-11,592.469970703125
2013-12,602.7999877929688
2014-01,590.8800048828125
2014-02,611.77001953125
2014-03,622.1900024414062
2014-04,643.2000122070312
2014-05,675.1400146484375
2014-06,690.3900146484375
2014-07,682.0499877929688
2014-08,677.4299926757812
2014-09,676.3300170898438
2014-10,642.3699951171875
2014-11,612.5499877929688
2014-12,619.739990234375
2015-01,635.7100219726562
2015-02,663.280029296875
2015-03,664.9600219726562
2015-04,695.6199951171875
2015-05,694.7000122070312
2015-06,676.2000122070312
2015-07,683.0399780273438
2015-08,634.47998046875
2015-09,622.719970703125
2015-10,655.530029296875
2015-11,669.6599731445312
2015-12,648.9600219726562
2016-01,603.3599853515625
2016-02,616.8099975585938
2016-03,627.9099731445312
2016-04,661.7899780273438
2016-05,670.9600219726562
2016-06,665.719970703125
2016-07,671.3400268554688
2016-08,677.5800170898438
2016-09,683.3900146484375
2016-10,702.9500122070312
2016-11,728.0700073242188
2016-12,764.6599731445312
2017-01,769.8599853515625
2017-02,766.5599975585938
2017-03,757.4299926757812
2017-04,765.1300048828125
2017-05,781.5499877929688
2017-06,766.3499755859375
2017-07,806.510009765625
2017-08,814.4000244140625
2017-09,861.5
2017-10,890.0999755859375
2017-11,885.0700073242188
2017-12,906.97998046875
2018-01,909.0399780273438
2018-02,918.719970703125
2018-03,907.3800048828125
2018-04,974.239990234375
2018-05,998.5800170898438
2018-06,1004.9400024414062
2018-07,1017.719970703125
2018-08,1028.9100341796875
2018-09,1069.1400146484375
2018-10,1010.4000244140625
2018-11,971.010009765625
2018-12,902.2999877929688
2019-01,946.3800048828125
2019-02,977.8800048828125
2019-03,977.989990234375
2019-04,998.5399780273438
2019-05,954.5499877929688
2019-06,966.9000244140625
2019-07,957.1799926757812
2019-08,955.6099853515625
2019-09,987.8800048828125
2019-10,993.6599731445312
2019-11,998.0499877929688
2019-12,1032.239990234375
2020-01,1011.6599731445312
2020-02,912.7899780273438
2020-03,778.3099975585938
2020-04,848.52001953125
2020-05,872.219970703125
2020-06,869.0800170898438
2020-07,901.739990234375
2020-08,937.0
2020-09,929.8499755859375
2020-10,874.4199829101562
2020-11,999.8800048828125
2020-12,1047.5899658203125
2021-01,1047.2900390625
2021-02,1052.6700439453125
