Date,US 10-Year Treasury Yield
1985-01,11.170000076293945
1985-02,11.90999984741211
1985-03,11.649999618530273
1985-04,11.40999984741211
1985-05,10.279999732971191
1985-06,10.25
1985-07,10.569999694824219
1985-08,10.279999732971191
1985-09,10.3100004196167
1985-10,10.010000228881836
1985-11,9.59000015258789
1985-12,9.0
1986-01,9.079999923706055
1986-02,8.130000114440918
1986-03,7.389999866485596
1986-04,7.380000114440918
1986-05,8.050000190734863
1986-06,7.349999904632568
1986-07,7.340000152587891
1986-08,6.949999809265137
1986-09,7.449999809265137
1986-10,7.340000152587891
1986-11,7.150000095367432
1986-12,7.230000019073486
1987-01,7.179999828338623
1987-02,7.190000057220459
1987-03,7.510000228881836
1987-04,8.210000038146973
1987-05,8.489999771118164
1987-06,8.380000114440918
1987-07,8.65999984741211
1987-08,9.0
1987-09,9.630000114440918
1987-10,8.880000114440918
1987-11,8.989999771118164
1987-12,8.829999923706055
1988-01,8.260000228881836
1988-02,8.15999984741211
1988-03,8.569999694824219
1988-04,8.869999885559082
1988-05,9.199999809265137
1988-06,8.819999694824219
1988-07,9.119999885559082
1988-08,9.25
1988-09,8.869999885559082
1988-10,8.649999618530273
1988-11,9.0600004196167
1988-12,9.140000343322754
1989-01,9.010000228881836
1989-02,9.319999694824219
1989-03,9.300000190734863
1989-04,9.020000457763672
1989-05,8.600000381469727
1989-06,8.100000381469727
1989-07,7.820000171661377
1989-08,8.260000228881836
1989-09,8.3100004196167
1989-10,7.920000076293945
1989-11,7.840000152587891
1989-12,7.929999828338623
1990-01,8.430000305175781
1990-02,8.510000228881836
1990-03,8.649999618530273
1990-04,9.039999961853027
1990-05,8.600000381469727
1990-06,8.430000305175781
1990-07,8.359999656677246
1990-08,8.859999656677246
1990-09,8.819999694824219
1990-10,8.649999618530273
1990-11,8.260000228881836
1990-12,8.079999923706055
1991-01,8.029999732971191
1991-02,8.020000457763672
1991-03,8.050000190734863
1991-04,8.020000457763672
1991-05,8.0600004196167
1991-06,8.239999771118164
1991-07,8.199999809265137
1991-08,7.820000171661377
1991-09,7.46999979019165
1991-10,7.46999979019165
1991-11,7.380000114440918
1991-12,6.710000038146973
1992-01,7.309999942779541
1992-02,7.269999980926514
1992-03,7.539999961853027
1992-04,7.610000133514404
1992-05,7.329999923706055
1992-06,7.139999866485596
1992-07,6.71999979019165
1992-08,6.619999885559082
1992-09,6.369999885559082
1992-10,6.800000190734863
1992-11,6.949999809265137
1992-12,6.699999809265137
1993-01,6.389999866485596
1993-02,6.03000020980835
1993-03,6.03000020980835
1993-04,6.050000190734863
1993-05,6.159999847412109
1993-06,5.800000190734863
1993-07,5.829999923706055
1993-08,5.449999809265137
1993-09,5.400000095367432
1993-10,5.388000011444092
1993-11,5.795000076293945
1993-12,5.7829999923706055
1994-01,5.638000011444092
1994-02,6.150000095367432
1994-03,6.77400016784668
1994-04,7.034999847412109
1994-05,7.1519999504089355
1994-06,7.328999996185303
1994-07,7.09499979019165
1994-08,7.164999961853027
1994-09,7.598999977111816
1994-10,7.793000221252441
1994-11,7.888000011444092
1994-12,7.827000141143799
1995-01,7.5929999351501465
1995-02,7.210000038146973
1995-03,7.189000129699707
1995-04,7.046000003814697
1995-05,6.285999774932861
1995-06,6.203000068664551
1995-07,6.428999900817871
1995-08,6.2729997634887695
1995-09,6.1570000648498535
1995-10,6.002999782562256
1995-11,5.744999885559082
1995-12,5.574999809265137
1996-01,5.580999851226807
1996-02,6.111999988555908
1996-03,6.334000110626221
1996-04,6.632999897003174
1996-05,6.843999862670898
1996-06,6.710999965667725
1996-07,6.789999961853027
1996-08,6.935999870300293
1996-09,6.698999881744385
1996-10,6.348999977111816
1996-11,6.039999961853027
1996-12,6.4070000648498535
1997-01,6.502999782562256
1997-02,6.534999847412109
1997-03,6.9070000648498535
1997-04,6.702000141143799
1997-05,6.663000106811523
1997-06,6.501999855041504
1997-07,6.004000186920166
1997-08,6.329999923706055
1997-09,6.10699987411499
1997-10,5.818999767303467
1997-11,5.85099983215332
1997-12,5.738999843597412
1998-01,5.51200008392334
1998-02,5.616000175476074
1998-03,5.6620001792907715
1998-04,5.666999816894531
1998-05,5.546000003814697
1998-06,5.434000015258789
1998-07,5.49399995803833
