Date,Copper
2000-09,0.9154999852180481
2000-11,0.8410000205039978
2000-12,0.8464999794960022
2001-01,0.8485000133514404
2001-02,0.8100000023841858
2001-03,0.7584999799728394
2001-05,0.7519999742507935
2001-06,0.7045000195503235
2001-08,0.6784999966621399
2001-09,0.6460000276565552
2001-10,0.621999979019165
2001-11,0.722000002861023
2001-12,0.652999997138977
2002-01,0.7304999828338623
2002-02,0.7139999866485596
2002-03,0.7605000138282776
2002-04,0.7325000166893005
2002-05,0.7615000009536743
2002-06,0.7674999833106995
2002-07,0.6775000095367432
2002-08,0.6869999766349792
2002-10,0.7139999866485596
2002-11,0.7494999766349792
2003-01,0.7914999723434448
2003-02,0.7749999761581421
2003-03,0.7124999761581421
2003-04,0.7250000238418579
2003-05,0.7799999713897705
2003-07,0.8180000185966492
2003-08,0.8029999732971191
2003-09,0.8130000233650208
2003-10,0.9369999766349792
2003-11,0.9070000052452087
2003-12,1.0429999828338623
2004-01,1.1430000066757202
2004-03,1.3585000038146973
2004-04,1.2094999551773071
2004-05,1.277999997138977
2004-06,1.2050000429153442
2004-07,1.3079999685287476
2004-09,1.399999976158142
2004-10,1.347499966621399
2004-11,1.4429999589920044
2004-12,1.4869999885559082
2005-01,1.4630000591278076
2005-02,1.5
2005-03,1.5089999437332153
2005-04,1.4980000257492065
2005-06,1.5535000562667847
2005-07,1.6875
2005-08,1.6950000524520874
2005-09,1.8014999628067017
2005-10,1.8960000276565552
2005-11,2.075000047683716
2005-12,2.1614999771118164
2006-02,2.185499906539917
2006-03,2.48799991607666
2006-04,3.3355000019073486
2006-05,3.7165000438690186
2006-06,3.4625000953674316
2006-07,3.609999895095825
2006-08,3.4690001010894775
2006-09,3.4590001106262207
2006-11,3.1714999675750732
2006-12,2.8540000915527344
2007-01,2.5834999084472656
2007-02,2.7330000400543213
2007-03,3.1435000896453857
2007-05,3.3935000896453857
2007-06,3.4535000324249268
2007-08,3.4110000133514404
2007-09,3.630500078201294
2007-10,3.4679999351501465
2007-11,3.1570000648498535
2007-12,3.0304999351501465
2008-01,3.2894999980926514
2008-02,3.8519999980926514
2008-03,3.8635001182556152
2008-04,3.934000015258789
2008-05,3.628000020980835
2008-07,3.7165000438690186
2008-08,3.429500102996826
2008-09,2.888000011444092
2008-10,1.843999981880188
2008-11,1.6234999895095825
2008-12,1.3949999809265137
2009-01,1.4620000123977661
2009-04,2.052999973297119
2009-05,2.197499990463257
2009-06,2.257999897003174
2009-07,2.616499900817871
2009-08,2.808000087738037
2009-09,2.809000015258789
2009-10,2.947499990463257
2009-12,3.327500104904175
2010-01,3.0460000038146973
2010-02,3.2685000896453857
2010-03,3.5460000038146973
2010-04,3.3375000953674316
2010-05,3.0969998836517334
2010-06,2.936000108718872
2010-07,3.306999921798706
2010-09,3.6459999084472656
2010-10,3.7320001125335693
2010-11,3.822999954223633
2010-12,4.439499855041504
2011-01,4.451000213623047
2011-02,4.478000164031982
2011-03,4.300000190734863
2011-04,4.165500164031982
2011-06,4.271999835968018
2011-07,4.473999977111816
2011-08,4.186999797821045
2011-09,3.1449999809265137
2011-10,3.628999948501587
2011-11,3.562999963760376
2011-12,3.43149995803833
2012-02,3.870500087738037
2012-03,3.8239998817443848
2012-05,3.362499952316284
2012-06,3.490000009536743
2012-08,3.4539999961853027
2012-09,3.7730000019073486
2012-10,3.5269999504089355
2012-11,3.629499912261963
2012-12,3.6410000324249268
2013-01,3.7235000133514404
2013-02,3.5274999141693115
2013-03,3.3949999809265137
2013-04,3.1875
2013-05,3.2890000343322754
2013-06,3.05049991607666
2013-07,3.118499994277954
2013-08,3.2249999046325684
2013-10,3.2945001125335693
2013-11,3.2304999828338623
2014-01,3.2204999923706055
2014-02,3.2385001182556152
2014-03,3.0464999675750732
2014-04,3.0295000076293945
2014-05,3.135999917984009
2014-07,3.2230000495910645
2014-08,3.134999990463257
2014-09,3.005500078201294
2014-10,3.061000108718872
2014-11,2.859999895095825
2014-12,2.8385000228881836
2015-01,2.5280001163482666
2015-04,2.8864998817443848
2015-05,2.759500026702881
2015-06,2.623500108718872
2015-07,2.367500066757202
2015-08,2.3380000591278076
2015-09,2.3454999923706055
2015-10,2.313499927520752
2015-12,2.125499963760376
2016-01,2.063999891281128
2016-02,2.128499984741211
2016-03,2.18149995803833
2016-04,2.2790000438690186
2016-06,2.194499969482422
2016-07,2.2204999923706055
2016-08,2.069499969482422
2016-09,2.2019999027252197
2016-10,2.200500011444092
2016-11,2.621500015258789
2016-12,2.497499942779541
2017-02,2.7039999961853027
2017-03,2.6465001106262207
2017-04,2.5964999198913574
2017-05,2.5769999027252197
2017-06,2.6989998817443848
2017-07,2.888000011444092
2017-08,3.0789999961853027
2017-09,2.9375
2017-11,3.0369999408721924
2017-12,3.2795000076293945
2018-01,3.184000015258789
2018-02,3.1075000762939453
2018-03,3.0190000534057617
2018-05,3.058000087738037
2018-06,2.9509999752044678
2018-08,2.6489999294281006
2018-09,2.7869999408721924
2018-10,2.6635000705718994
2018-11,2.7774999141693115
2018-12,2.628000020980835
2019-01,2.7890000343322754
2019-02,2.950000047683716
2019-03,2.936000108718872
2019-04,2.9014999866485596
2019-05,2.6459999084472656
2019-06,2.7054998874664307
2019-07,2.6579999923706055
2019-08,2.5329999923706055
2019-10,2.632999897003174
2019-11,2.6419999599456787
2020-01,2.5199999809265137
2020-02,2.5460000038146973
2020-04,2.3540000915527344
2020-05,2.426500082015991
2020-06,2.7135000228881836
2020-07,2.8589999675750732
2020-08,3.0409998893737793
2020-09,3.0285000801086426
