Date,SPDR Dow Jones Industrial Average ETF
1998-02,49.13619613647461
1998-03,50.625144958496094
1998-04,52.167938232421875
1998-05,51.19302749633789
1998-06,51.72994613647461
1998-07,51.17313766479492
1998-08,43.279476165771484
1998-09,45.297637939453125
1998-10,49.91094207763672
1998-11,52.68474197387695
1998-12,53.189659118652344
1999-01,54.298377990722656
1999-02,54.1604118347168
1999-03,57.08576583862305
1999-04,62.946895599365234
1999-05,61.504390716552734
1999-06,64.11627197265625
1999-07,62.40653610229492
1999-08,63.54398727416992
1999-09,60.956241607666016
1999-10,63.349647521972656
1999-11,64.03337097167969
1999-12,67.979736328125
2000-01,64.68526458740234
2000-02,60.03594970703125
2000-03,64.77079772949219
2000-04,63.75540542602539
2000-05,62.448097229003906
2000-06,61.98965835571289
2000-07,62.39472961425781
2000-08,66.92744445800781
2000-09,63.51982116699219
2000-10,65.26004028320312
2000-11,62.35898208618164
2000-12,63.85894012451172
2001-01,65.0610580444336
2001-02,62.933963775634766
2001-03,59.51148986816406
2001-04,64.45872497558594
2001-05,65.62892150878906
2001-06,63.41915512084961
2001-07,63.35799789428711
2001-08,60.315887451171875
2001-09,53.41360855102539
2001-10,54.94704818725586
2001-11,59.804447174072266
2001-12,60.6222038269043
2002-01,60.41038513183594
2002-02,61.598480224609375
2002-03,63.273887634277344
2002-04,60.79096603393555
2002-05,60.69666290283203
2002-06,56.662288665771484
2002-07,53.465091705322266
2002-08,53.16929244995117
2002-09,46.76262283325195
2002-10,51.65245819091797
2002-11,54.898284912109375
2002-12,51.694175720214844
2003-01,50.16676330566406
2003-02,49.2506217956543
2003-03,49.722801208496094
2003-04,52.92859649658203
2003-05,55.48347091674805
2003-06,56.237361907958984
2003-07,57.991607666015625
2003-08,59.291927337646484
2003-09,58.566036224365234
2003-10,61.772315979003906
2003-11,61.88203048706055
2003-12,66.18936157226562
2004-01,66.60734558105469
2004-02,67.27871704101562
2004-03,66.08030700683594
2004-04,65.15646362304688
2004-05,65.08514404296875
2004-06,66.84490203857422
2004-07,65.06439208984375
2004-08,65.2085189819336
2004-09,64.74510192871094
2004-10,64.49961853027344
2004-11,67.09571838378906
2004-12,69.50604248046875
2005-01,67.85859680175781
2005-02,69.80159759521484
2005-03,68.1958999633789
2005-04,66.2806167602539
2005-05,68.11882781982422
2005-06,67.1087417602539
2005-07,69.71800231933594
2005-08,68.64102172851562
2005-09,69.40655517578125
2005-10,68.29912567138672
2005-11,71.22769927978516
2005-12,70.5744400024414
2006-01,71.60614776611328
2006-02,72.76447296142578
2006-03,73.83343505859375
2006-04,75.70527648925781
2006-05,74.3553237915039
2006-06,74.58194732666016
2006-07,74.76649475097656
2006-08,76.14631652832031
2006-09,78.27643585205078
2006-10,81.09717559814453
2006-11,82.2388916015625
2006-12,83.88837432861328
2007-01,85.3490219116211
2007-02,82.98150634765625
2007-03,83.7614517211914
2007-04,88.7616958618164
2007-05,92.65586853027344
2007-06,91.47496032714844
2007-07,90.20357513427734
2007-08,91.14994049072266
2007-09,95.12477111816406
2007-10,95.31609344482422
2007-11,92.13190460205078
2007-12,91.28873443603516
2008-01,86.98808288574219
2008-02,85.02165222167969
2008-03,84.76061248779297
2008-04,88.98703002929688
2008-05,87.66497039794922
2008-06,79.0304183959961
2008-07,79.40251922607422
2008-08,80.74142456054688
2008-09,75.94403839111328
2008-10,65.72903442382812
2008-11,62.181453704833984
2008-12,61.9113655090332
2009-01,56.823341369628906
2009-02,50.296363830566406
2009-03,54.170753479003906
2009-04,58.474613189697266
2009-05,61.23910140991211
2009-06,60.895259857177734
2009-07,66.15608978271484
2009-08,68.6946029663086
2009-09,70.41592407226562
2009-10,70.5200424194336
2009-11,75.32762145996094
2009-12,75.9314956665039
2010-01,73.64823913574219
2010-02,75.66252136230469
2010-03,79.75474548339844
2010-04,81.00413513183594
2010-05,74.71576690673828
2010-06,72.23401641845703
2010-07,77.52658081054688
2010-08,74.26109313964844
2010-09,80.27430725097656
2010-10,82.95274353027344
2010-11,82.17196655273438
2010-12,86.52288055419922
2011-01,89.13923645019531
2011-02,91.91943359375
2011-03,92.80015563964844
2011-04,96.77286529541016
2011-05,94.93974304199219
2011-06,93.98551177978516
2011-07,92.09651947021484
2011-08,88.2376937866211
2011-09,83.21221160888672
2011-10,91.33233642578125
2011-11,92.13067626953125
2011-12,93.62958526611328
2012-01,97.16337585449219
2012-02,99.7771224975586
2012-03,101.9764633178711
2012-04,102.17320251464844
2012-05,96.00444030761719
2012-06,100.03300476074219
2012-07,101.17486572265625
2012-08,102.26923370361328
2012-09,105.02274322509766
2012-10,102.53179931640625
2012-11,102.2804946899414
2012-12,102.92277526855469
2013-01,109.43370056152344
2013-02,111.03070068359375
2013-03,115.31417846679688
2013-04,117.70127868652344
2013-05,120.26728820800781
2013-06,118.57120513916016
2013-07,123.84696197509766
2013-08,118.41315460205078
2013-09,121.2431640625
2013-10,124.9307632446289
2013-11,129.44247436523438
2013-12,133.5188446044922
2014-01,126.79197692871094
2014-02,131.9707794189453
2014-03,133.31797790527344
2014-04,134.53240966796875
2014-05,135.84518432617188
2014-06,136.976806640625
2014-07,135.11602783203125
2014-08,139.8356475830078
2014-09,139.41986083984375
2014-10,142.5316925048828
2014-11,146.35275268554688
2014-12,146.5424041748047
2015-01,141.55006408691406
2015-02,149.71954345703125
2015-03,147.13687133789062
2015-04,147.88998413085938
2015-05,149.5895538330078
2015-06,146.34957885742188
2015-07,147.45578002929688
2015-08,137.98898315429688
2015-09,136.29078674316406
2015-10,148.20657348632812
