Date,Vanguard Total Stock Market ETF
2019-05,130.34646606445312
2019-06,139.0553741455078
2019-07,141.5439453125
2019-08,138.59609985351562
2019-09,140.4187469482422
2019-10,144.03282165527344
2019-11,149.48851013183594
2019-12,152.85157775878906
2020-01,153.58645629882812
2020-02,141.301025390625
2020-03,121.07892608642578
2020-04,137.660888671875
2020-05,145.08953857421875
2020-06,147.75137329101562
2020-07,156.94837951660156
2020-08,168.09933471679688
2020-09,161.49032592773438
2020-10,158.9917449951172
2020-11,177.7576904296875
2020-12,185.31741333007812
2021-01,185.44888305664062
2021-02,191.27073669433594
2021-03,197.58969116210938
2021-04,208.23297119140625
2021-05,209.18252563476562
2021-06,213.71934509277344
2021-07,218.09771728515625
2021-08,224.3321075439453
2021-09,213.64321899414062
2021-10,228.64981079101562
2021-11,225.31045532226562
2021-12,233.0218505859375
2022-01,219.68606567382812
2022-02,214.22323608398438
2022-03,220.51904296875
2022-04,201.00697326660156
2022-05,200.501708984375
2022-06,183.2653350830078
2022-07,201.1958465576172
2022-08,193.69430541992188
2022-09,175.07211303710938
2022-10,190.07887268066406
2022-11,199.90460205078125
2022-12,187.29669189453125
2023-01,201.2325897216797
2023-02,196.3994140625
2023-03,200.90777587890625
2023-04,203.8904571533203
2023-05,204.76016235351562
2023-06,217.70716857910156
2023-07,226.5440673828125
2023-08,222.16893005371094
2023-09,210.73011779785156
2023-10,205.90643310546875
2023-11,225.29324340820312
2023-12,236.2064208984375
2024-01,239.8699951171875
2024-02,248.89999389648438
