Date,Vanguard Total Stock Market ETF
2001-07,36.88657760620117
2001-08,34.72678756713867
2001-09,31.598526000976562
2001-10,32.362606048583984
2001-11,34.827362060546875
2001-12,35.19807434082031
2002-01,35.02119445800781
2002-02,34.40774154663086
2002-03,35.57098388671875
2002-04,34.081077575683594
2002-05,33.60035705566406
2002-06,31.196733474731445
2002-07,28.674915313720703
2002-08,28.894041061401367
2002-09,25.87350845336914
2002-10,27.919265747070312
2002-11,29.594444274902344
2002-12,27.963266372680664
2003-01,27.31566047668457
2003-02,26.894058227539062
2003-03,26.996076583862305
2003-04,29.430456161499023
2003-05,31.14699935913086
2003-06,31.5496883392334
2003-07,32.38642883300781
2003-08,33.1601676940918
2003-09,32.69455337524414
2003-10,34.796756744384766
2003-11,35.31900405883789
2003-12,36.576438903808594
2004-01,37.69046401977539
2004-02,38.21834945678711
2004-03,37.70427703857422
2004-04,36.985984802246094
2004-05,37.52252960205078
2004-06,38.15251159667969
2004-07,36.92285919189453
2004-08,36.943702697753906
2004-09,37.42998123168945
2004-10,38.241249084472656
2004-11,40.0539665222168
2004-12,41.15204620361328
2005-01,40.390899658203125
2005-02,41.23311996459961
2005-03,40.30668640136719
2005-04,39.57001876831055
2005-05,41.10589599609375
2005-06,41.27497863769531
2005-07,43.230953216552734
2005-08,42.76081085205078
2005-09,42.895137786865234
2005-10,42.087120056152344
2005-11,44.029876708984375
2005-12,43.80255889892578
2006-01,45.4552116394043
2006-02,45.55519104003906
2006-03,46.301475524902344
2006-04,46.93384552001953
2006-05,45.420894622802734
2006-06,45.28466796875
2006-07,45.4270133972168
2006-08,46.471229553222656
2006-09,47.32822799682617
2006-10,49.19906997680664
2006-11,50.345149993896484
2006-12,50.692237854003906
2007-01,51.89849853515625
2007-02,51.05543899536133
2007-03,51.40792465209961
2007-04,53.70424270629883
2007-05,55.70410919189453
2007-06,54.51438903808594
2007-07,52.78794479370117
2007-08,53.564544677734375
2007-09,55.388877868652344
2007-10,56.622005462646484
2007-11,54.06147766113281
2007-12,53.3992805480957
2008-01,50.3757209777832
2008-02,49.11817932128906
2008-03,48.452415466308594
2008-04,51.056941986083984
2008-05,52.086265563964844
2008-06,47.63085174560547
2008-07,47.557769775390625
2008-08,48.252193450927734
2008-09,43.57781219482422
2008-10,36.13911819458008
2008-11,33.24258804321289
2008-12,33.57276916503906
2009-01,31.107595443725586
2009-02,27.833499908447266
2009-03,29.928024291992188
2009-04,33.448001861572266
2009-05,35.27536392211914
2009-06,35.22966003417969
2009-07,38.14427185058594
2009-08,39.55985641479492
2009-09,41.006046295166016
2009-10,40.111183166503906
2009-11,42.39424133300781
2009-12,43.33208084106445
2010-01,42.05310821533203
2010-02,43.499752044677734
2010-03,46.09906005859375
2010-04,47.29155731201172
2010-05,43.56353759765625
2010-06,40.8218879699707
2010-07,43.89896774291992
2010-08,41.830848693847656
2010-09,45.553470611572266
2010-10,47.63309097290039
2010-11,47.87627410888672
2010-12,50.93571090698242
2011-01,52.25711441040039
2011-02,54.189327239990234
2011-03,54.189327239990234
2011-04,55.992156982421875
2011-05,55.39817428588867
2011-06,54.17061996459961
2011-07,53.1684684753418
2011-08,49.93143844604492
2011-09,45.907020568847656
2011-10,51.3957405090332
2011-11,51.2038459777832
2011-12,51.41173553466797
2012-01,54.32554626464844
2012-02,56.61724853515625
2012-03,58.104862213134766
2012-04,57.98263168334961
2012-05,54.372840881347656
2012-06,56.286766052246094
2012-07,57.067405700683594
2012-08,58.60955047607422
2012-09,59.77833938598633
2012-10,58.98493957519531
2012-11,59.44169235229492
2012-12,59.76792907714844
2013-01,63.47212600708008
2013-02,64.28553009033203
2013-03,66.52041625976562
2013-04,67.89688110351562
2013-05,69.55590057373047
2013-06,68.23529815673828
2013-07,72.49565887451172
2013-08,70.29808807373047
2013-09,72.68639373779297
2013-10,76.1541748046875
2013-11,78.21239471435547
2013-12,79.92897033691406
2014-01,77.80377960205078
2014-02,81.59009552001953
2014-03,81.64871978759766
2014-04,82.05615234375
2014-05,83.78091430664062
2014-06,85.6234359741211
2014-07,84.26202392578125
2014-08,87.75952911376953
2014-09,85.52925109863281
2014-10,88.27885437011719
2014-11,90.46846008300781
2014-12,89.95923614501953
2015-01,87.95962524414062
2015-02,93.01028442382812
2015-03,91.50021362304688
2015-04,92.49441528320312
2015-05,93.69442749023438
2015-06,91.7315444946289
2015-07,93.69181823730469
2015-08,87.9845962524414
2015-09,84.9803237915039
2015-10,92.17008972167969
2015-11,92.72378540039062
2015-12,90.24067687988281
2016-01,85.56017303466797
2016-02,85.55146026611328
2016-03,91.20731353759766
2016-04,92.23727416992188
2016-05,93.83706665039062
2016-06,93.67972564697266
2016-07,97.83419799804688
2016-08,98.03617858886719
2016-09,97.75519561767578
2016-10,96.07846069335938
2016-11,100.39312744140625
2016-12,101.75191497802734
2017-01,104.28759002685547
2017-02,108.14089965820312
2017-03,107.71472930908203
2017-04,109.35112762451172
2017-05,110.45703887939453
2017-06,110.99215698242188
2017-07,113.59998321533203
2017-08,113.77021789550781
2017-09,116.04596710205078
2017-10,119.0748062133789
2017-11,122.68311309814453
2017-12,123.50200653076172
2018-01,130.59999084472656
2018-02,125.6899642944336
2018-03,122.72406768798828
2018-04,123.77631378173828
2018-05,127.14466094970703
2018-06,127.49874114990234
2018-07,132.28810119628906
2018-08,136.8286590576172
2018-09,136.44570922851562
2018-10,126.93721771240234
2018-11,129.49322509765625
2018-12,116.92406463623047
2019-01,127.65507507324219
2019-02,132.1980743408203
2019-03,133.34991455078125
2019-04,139.3333282470703
