Date,MSCI India
1992-12,10000
1993-01,9795.999999999998
1993-02,10037.399999999998
1993-03,8486.499999999998
1993-04,7936.700000000002
1993-05,8346.099999999999
1993-06,8446.499999999998
1993-07,8960.999999999998
1993-08,10173.3
1993-09,10621.899999999998
1993-10,10445.499999999998
1993-11,12691.800000000001
1993-12,13463.899999999998
1994-01,15698.399999999998
1994-02,16789.699999999993
1994-03,14919.499999999998
1994-04,14575.499999999998
1994-05,14754.699999999997
1994-06,15499.999999999998
1994-07,15959.699999999997
1994-08,17243.399999999998
1994-09,16281.599999999999
1994-10,16131.700000000003
1994-11,15591.399999999996
1994-12,14800.699999999997
1995-01,13884.099999999999
1995-02,13150.399999999998
1995-03,12654.399999999998
1995-04,12014.699999999999
1995-05,12503.799999999997
1995-06,12095.399999999998
1995-07,12599.999999999998
1995-08,12146.299999999997
1995-09,11797.699999999999
1995-10,11489.3
1995-11,9820.199999999999
1995-12,10221.499999999998
1996-01,9238.999999999998
1996-02,11283.699999999999
1996-03,11400.099999999999
1996-04,12813.599999999999
1996-05,12333.499999999996
1996-06,12839.699999999999
1996-07,11780.299999999996
1996-08,11544.599999999999
1996-09,10613.899999999998
1996-10,10383.399999999998
1996-11,9466.5
1996-12,9999.399999999998
1997-01,10902.099999999999
1997-02,11654.699999999999
1997-03,10713.199999999999
1997-04,12071.899999999998
1997-05,11920.999999999998
1997-06,13757.199999999999
1997-07,13987.2
1997-08,12471.599999999999
1997-09,12689.499999999998
1997-10,12257.699999999999
1997-11,10935.999999999998
1997-12,11126.3
1998-01,9972.099999999999
1998-02,11022.699999999999
1998-03,11825.599999999999
1998-04,12072.599999999999
1998-05,10696.8
1998-06,9365.999999999998
1998-07,9265.399999999996
1998-08,8491.8
1998-09,8908.4
1998-10,8235.599999999999
1998-11,8087.499999999999
1998-12,8762.999999999998
1999-01,9808.999999999998
1999-02,9480.599999999997
1999-03,11074.8
1999-04,9698.499999999998
1999-05,11519.399999999998
1999-06,11993.199999999999
1999-07,13304.699999999999
1999-08,14540.799999999996
1999-09,14531.499999999998
1999-10,13503.099999999999
1999-11,14346.199999999997
1999-12,16417.399999999998
2000-01,18182.899999999998
2000-02,21512.799999999996
2000-03,19304.499999999996
2000-04,16270.599999999999
2000-05,14339.799999999997
2000-06,15869.399999999998
2000-07,14149.999999999998
2000-08,14777.699999999995
2000-09,13167.899999999998
2000-10,12040.899999999998
2000-11,12914.499999999998
2000-12,12847.799999999997
2001-01,13977.599999999999
2001-02,13468.999999999998
2001-03,11097.599999999999
2001-04,10846.899999999998
2001-05,11283.699999999999
2001-06,10700.599999999999
2001-07,10350.599999999999
2001-08,10206.399999999998
2001-09,8786.199999999999
2001-10,9374.399999999998
2001-11,10334.199999999999
2001-12,10348.699999999999
2002-01,10531.199999999999
2002-02,11194.599999999999
2002-03,11130.899999999998
2002-04,10638.8
2002-05,9970.399999999998
2002-06,10271.299999999997
2002-07,9546.299999999997
2002-08,10141.399999999998
2002-09,9648.999999999998
2002-10,9637.699999999999
2002-11,10640.399999999998
2002-12,11215.399999999998
2003-01,10752.899999999998
2003-02,10906.499999999996
2003-03,10093.499999999998
2003-04,9652.3
2003-05,10438.999999999998
2003-06,11929.599999999999
2003-07,12745.899999999998
2003-08,14391.699999999997
2003-09,15220.999999999998
2003-10,16816.1
2003-11,17227.499999999996
2003-12,20004.2
2004-01,19520.5
2004-02,19277.099999999995
2004-03,19729.999999999996
2004-04,19405.999999999996
2004-05,16349.499999999995
2004-06,16411.499999999996
2004-07,17583.499999999996
2004-08,17578.1
2004-09,19071.799999999996
2004-10,19782.6
2004-11,22202.499999999996
2004-12,23826.199999999997
2005-01,23406.899999999998
2005-02,24052.499999999996
2005-03,23260.299999999996
2005-04,22022.7
2005-05,23970.499999999996
2005-06,26043.999999999996
2005-07,27511.599999999995
2005-08,27608.799999999996
2005-09,30310.799999999996
2005-10,27220.699999999997
2005-11,29906.199999999997
2005-12,32777.799999999996
2006-01,35259.2
2006-02,36142.2
2006-03,39742.7
2006-04,41138.49999999999
2006-05,35309.39999999999
2006-06,36036.89999999999
2006-07,36071.299999999996
2006-08,39469.7
2006-09,42574.2
2006-10,45401.799999999996
2006-11,47997.89999999999
2006-12,49495.799999999996
2007-01,50758.299999999996
2007-02,46376.09999999999
2007-03,47834.69999999999
2007-04,53629.799999999996
2007-05,57354.79999999999
2007-06,57805.09999999999
2007-07,61407.399999999994
2007-08,59479.29999999999
2007-09,69482.99999999999
2007-10,81295.09999999999
2007-11,79671.4
2007-12,85682.59999999999
2008-01,73395.29999999999
2008-02,71638.99999999999
2008-03,62557.09999999999
2008-04,69486.99999999999
2008-05,62449.59999999999
2008-06,50231.09999999999
2008-07,53605.09999999999
2008-08,52978.69999999999
2008-09,43234.099999999984
2008-10,30923.099999999995
2008-11,27623.799999999996
2008-12,30302.999999999993
2009-01,29693.4
2009-02,26615.299999999996
2009-03,29849.699999999997
2009-04,35684.399999999994
2009-05,48772.19999999999
2009-06,47711.899999999994
2009-07,51968.19999999999
2009-08,51403.99999999999
2009-09,57062.69999999998
2009-10,54771.69999999999
2009-11,59378.899999999994
2009-12,61457.29999999999
2010-01,58202.69999999999
2010-02,58988.69999999998
2010-03,64440.29999999999
2010-04,65649.99999999999
2010-05,60406.09999999999
2010-06,62997.399999999994
2010-07,63454.899999999994
2010-08,62541.99999999999
2010-09,72724.4
2010-10,73905.59999999999
2010-11,69078.9
2010-12,74332.39999999997
2011-01,64624.69999999999
2011-02,63484.4
2011-03,70534.79999999999
2011-04,69798.59999999999
