Date,iShares MSCI World ETF
2012-02,43.38096237182617
2012-03,43.365196228027344
2012-04,43.53871154785156
2012-05,39.82373046875
2012-06,40.12344741821289
2012-07,42.049015045166016
2012-08,42.92903137207031
2012-09,44.84907150268555
2012-10,43.841060638427734
2012-11,44.59306716918945
2012-12,44.88908004760742
2013-01,47.64908981323242
2013-02,47.94917297363281
2013-03,48.96298599243164
2013-04,50.28499221801758
2013-05,51.59077453613281
2013-06,49.07653045654297
2013-07,52.223609924316406
2013-08,51.34274673461914
2013-09,54.22999954223633
2013-10,55.608394622802734
2013-11,56.742088317871094
2013-12,57.313011169433594
2014-01,55.26976013183594
2014-02,58.18992614746094
2014-03,58.39500427246094
2014-04,58.03407669067383
2014-05,59.87968063354492
2014-06,59.846866607666016
2014-07,59.65852355957031
2014-08,61.312950134277344
2014-09,59.34260940551758
2014-10,59.849754333496094
2014-11,60.922203063964844
2014-12,59.575408935546875
2015-01,58.658233642578125
2015-02,62.57886505126953
2015-03,61.68055725097656
2015-04,62.78034210205078
2015-05,63.04901123046875
2015-06,60.614349365234375
2015-07,62.953556060791016
2015-08,58.816123962402344
2015-09,56.72616195678711
2015-10,60.676692962646484
2015-11,60.846614837646484
2015-12,59.13046646118164
2016-01,56.128257751464844
2016-02,55.8018684387207
2016-03,59.58098602294922
2016-04,60.216556549072266
2016-05,60.70612335205078
2016-06,59.546630859375
2016-07,62.75416946411133
2016-08,62.96275329589844
2016-09,63.145263671875
2016-10,61.80693435668945
2016-11,62.84108352661133
2016-12,63.510257720947266
2017-01,65.9279556274414
2017-02,67.65711975097656
2017-03,68.35055541992188
2017-04,69.50039672851562
2017-05,70.94868469238281
2017-06,70.50980377197266
2017-07,72.96271514892578
2017-08,73.0247802734375
2017-09,74.5677490234375
2017-10,76.15505981445312
2017-11,77.64482116699219
2017-12,78.13253784179688
2018-01,82.95581817626953
2018-02,79.33971405029297
2018-03,77.98812103271484
2018-04,78.56993865966797
2018-05,79.0890884399414
2018-06,78.28350830078125
2018-07,81.59263610839844
2018-08,82.5254898071289
2018-09,83.1413345336914
2018-10,77.20914459228516
2018-11,78.07859802246094
2018-12,71.430908203125
2019-01,77.68061828613281
2019-02,79.99384307861328
2019-03,81.18248748779297
2019-04,84.1997299194336
2019-05,79.32640838623047
2019-06,83.22140502929688
2019-07,85.13462829589844
2019-08,83.26251220703125
2019-09,85.06048583984375
2019-10,87.22916412353516
2019-11,89.67588806152344
2019-12,91.54798126220703
2020-01,91.42684173583984
2020-02,83.88667297363281
2020-03,72.90384674072266
2020-04,80.79014587402344
2020-05,84.85025024414062
2020-06,86.19737243652344
2020-07,91.33352661132812
2020-08,97.29644012451172
2020-09,94.04564666748047
2020-10,91.22012329101562
2020-11,102.94747161865234
2020-12,106.22661590576172
2021-01,106.11994171142578
2021-02,108.76604461669922
2021-03,112.78279113769531
2021-04,117.65617370605469
2021-05,119.5503158569336
2021-06,120.47359466552734
2021-07,123.59825897216797
2021-08,126.65872955322266
2021-09,121.32450103759766
2021-10,128.40480041503906
2021-11,125.77606964111328
2021-12,129.82472229003906
2022-01,124.05911254882812
2022-02,120.44329071044922
2022-03,123.90441131591797
2022-04,113.52104187011719
2022-05,114.0237808227539
2022-06,103.33102416992188
2022-07,112.69873809814453
2022-08,107.5401611328125
2022-09,97.466796875
2022-10,104.75121307373047
2022-11,112.57196807861328
2022-12,106.53575134277344
2023-01,114.94219970703125
2023-02,111.96574401855469
2023-03,115.59053039550781
2023-04,117.67306518554688
2023-05,116.50409698486328
2023-06,122.31947326660156
2023-07,127.49130249023438
2023-08,124.67447662353516
2023-09,119.18959045410156
2023-10,116.15455627441406
2023-11,126.73750305175781
2023-12,131.93475341796875
2024-01,134.1999969482422
2024-02,137.89999389648438
