Date,Silver
2000-09,4.89900016784668
2000-11,4.673999786376953
2000-12,4.585000038146973
2001-01,4.790999889373779
2001-02,4.4720001220703125
2001-03,4.2779998779296875
2001-05,4.395999908447266
2001-06,4.291999816894531
2001-08,4.1620001792907715
2001-09,4.646999835968018
2001-10,4.214000225067139
2001-11,4.127999782562256
2001-12,4.578999996185303
2002-01,4.216000080108643
2002-02,4.497000217437744
2002-03,4.640999794006348
2002-04,4.5320000648498535
2002-05,5.026000022888184
2002-06,4.833000183105469
2002-07,4.59499979019165
2002-08,4.436999797821045
2002-10,4.499000072479248
2002-11,4.414000034332275
2003-01,4.853000164031982
2003-02,4.585000038146973
2003-03,4.460999965667725
2003-04,4.638000011444092
2003-05,4.526000022888184
2003-07,5.116000175476074
2003-08,5.109000205993652
2003-09,5.13700008392334
2003-10,5.059000015258789
2003-11,5.355000019073486
2003-12,5.953000068664551
2004-01,6.245999813079834
2004-03,7.935999870300293
2004-04,6.078000068664551
2004-05,6.105000019073486
2004-06,5.776000022888184
2004-07,6.550000190734863
2004-09,6.915999889373779
2004-10,7.291999816894531
2004-11,7.7230000495910645
2004-12,6.807000160217285
2005-01,6.736999988555908
2005-02,7.359000205993652
2005-03,7.190999984741211
2005-04,6.9019999504089355
2005-06,7.0279998779296875
2005-07,7.23799991607666
2005-08,6.781000137329102
2005-09,7.458000183105469
2005-10,7.550000190734863
2005-11,8.279999732971191
2005-12,8.819999694824219
2006-02,9.720000267028809
2006-03,11.479999542236328
2006-04,13.510000228881836
2006-05,12.39799976348877
2006-06,10.90999984741211
2006-07,11.324999809265137
2006-08,12.899999618530273
2006-09,11.449999809265137
2006-11,13.925000190734863
2006-12,12.817999839782715
2007-01,13.513999938964844
2007-02,14.100000381469727
2007-03,13.390000343322754
2007-05,13.409000396728516
2007-06,12.352999687194824
2007-08,12.062999725341797
2007-09,13.793999671936035
2007-10,14.376999855041504
2007-11,13.963000297546387
2007-12,14.79699993133545
2008-01,16.947999954223633
2008-02,19.808000564575195
2008-03,17.274999618530273
2008-04,16.50200080871582
2008-05,16.82699966430664
2008-07,17.75
2008-08,13.607000350952148
2008-09,12.230999946594238
2008-10,9.729999542236328
2008-11,10.1850004196167
2008-12,11.270000457763672
2009-01,12.5600004196167
2009-04,12.305000305175781
2009-05,15.600000381469727
2009-06,13.574000358581543
2009-07,13.932999610900879
2009-08,14.89799976348877
2009-09,16.63599967956543
2009-10,16.246000289916992
2009-12,16.82200050354004
2010-01,16.183000564575195
2010-02,16.5
2010-03,17.511999130249023
2010-04,18.611000061035156
2010-05,18.410999298095703
2010-06,18.67099952697754
2010-07,17.98699951171875
2010-09,21.79800033569336
2010-10,24.559999465942383
2010-11,28.184999465942383
2010-12,30.90999984741211
2011-01,28.173999786376953
2011-02,33.80400085449219
2011-03,37.87200164794922
2011-04,48.58399963378906
2011-06,34.8120002746582
2011-07,40.09199905395508
2011-08,41.69900131225586
2011-09,30.041000366210938
2011-10,34.33700180053711
2011-11,32.73099899291992
2011-12,27.875
2012-02,34.58300018310547
2012-03,32.46900177001953
2012-05,27.740999221801758
2012-06,27.579999923706055
2012-08,31.3700008392334
2012-09,34.516998291015625
2012-10,32.28799819946289
2012-11,33.20399856567383
2012-12,30.17300033569336
2013-01,31.334999084472656
2013-02,28.395000457763672
2013-03,28.29199981689453
2013-04,24.143999099731445
2013-05,22.22800064086914
2013-06,19.451000213623047
2013-07,19.617000579833984
2013-08,23.46299934387207
2013-10,21.832000732421875
2013-11,19.981000900268555
2014-01,19.104999542236328
2014-02,21.20400047302246
2014-03,19.733999252319336
2014-04,19.118999481201172
2014-05,18.652999877929688
2014-07,20.37299919128418
2014-08,19.398000717163086
2014-09,17.006000518798828
2014-10,16.07699966430664
2014-11,15.48900032043457
2014-12,15.5649995803833
2015-01,17.191999435424805
2015-04,16.124000549316406
2015-05,16.68400001525879
2015-06,15.550999641418457
2015-07,14.746000289916992
2015-08,14.57699966430664
2015-09,14.512999534606934
2015-10,15.565999984741211
2015-12,13.774999618530273
2016-01,14.229000091552734
2016-02,14.895999908447266
2016-03,15.460000038146973
2016-04,17.788999557495117
2016-06,18.582000732421875
2016-07,20.312000274658203
2016-08,18.621999740600586
2016-09,19.138999938964844
2016-10,17.761999130249023
2016-11,16.4060001373291
2016-12,15.935999870300293
2017-02,18.420000076293945
2017-03,18.235000610351562
2017-04,17.19099998474121
2017-05,17.368000030517578
2017-06,16.56800079345703
2017-07,16.75
2017-08,17.479999542236328
2017-09,16.60700035095215
2017-11,16.381999969482422
2017-12,17.059999465942383
2018-01,17.20400047302246
2018-02,16.323999404907227
2018-03,16.222999572753906
2018-05,16.402000427246094
2018-06,16.104000091552734
2018-08,14.437999725341797
2018-09,14.623000144958496
2018-10,14.229000091552734
2018-11,14.093999862670898
2018-12,15.432999610900879
2019-01,16.02199935913086
2019-02,15.538000106811523
2019-03,15.0600004196167
2019-04,14.899999618530273
2019-05,14.529999732971191
2019-06,15.253000259399414
2019-07,16.34600067138672
2019-08,18.184999465942383
2019-10,18.013999938964844
2019-11,16.9689998626709
2020-01,17.972000122070312
2020-02,16.386999130249023
2020-04,14.89799976348877
2020-05,18.440000534057617
2020-06,18.541000366210938
2020-07,24.18899917602539
2020-08,28.437000274658203
2020-09,23.433000564575195
2020-10,23.617000579833984
2020-12,26.332000732421875
2021-01,26.899999618530273
2021-02,26.402000427246094
2021-03,24.517000198364258
2021-04,25.85300064086914
2021-05,27.993000030517578
2021-06,26.165000915527344
2021-07,25.527999877929688
2021-09,22.020999908447266
