Date,DAX
1988-01,936.0
1988-02,1083.3399658203125
1988-03,1062.3299560546875
1988-04,1049.1700439453125
1988-05,1075.6600341796875
1988-06,1133.81005859375
1988-07,1178.530029296875
1988-08,1169.4599609375
1988-09,1253.6800537109375
1988-10,1308.25
1988-11,1273.760009765625
1988-12,1330.22998046875
1989-01,1324.3399658203125
1989-02,1289.7900390625
1989-03,1319.8800048828125
1989-04,1374.0400390625
1989-05,1407.050048828125
1989-06,1477.219970703125
1989-07,1548.6800537109375
1989-08,1594.699951171875
1989-09,1570.6400146484375
1989-10,1464.8699951171875
1989-11,1556.4100341796875
1989-12,1778.1199951171875
1990-01,1821.2099609375
1990-02,1806.6300048828125
1990-03,1966.75
1990-04,1812.9100341796875
1990-05,1836.68994140625
1990-06,1884.6700439453125
1990-07,1922.9200439453125
1990-08,1622.010009765625
1990-09,1327.97998046875
1990-10,1434.5
1990-11,1436.5699462890625
1990-12,1389.3499755859375
1991-01,1421.1600341796875
1991-02,1564.449951171875
1991-03,1515.3199462890625
1991-04,1606.8699951171875
1991-05,1707.9599609375
1991-06,1623.72998046875
1991-07,1619.2900390625
1991-08,1649.8800048828125
1991-09,1605.469970703125
1991-10,1579.77001953125
1991-11,1571.06005859375
1991-12,1577.260009765625
1992-01,1685.699951171875
1992-02,1746.760009765625
1992-03,1718.3499755859375
1992-04,1728.0899658203125
1992-05,1806.3599853515625
1992-06,1754.949951171875
1992-07,1608.489990234375
1992-08,1529.969970703125
1992-09,1470.0899658203125
1992-10,1489.6800537109375
1992-11,1545.1199951171875
1992-12,1538.4300537109375
1993-01,1574.0400390625
1993-02,1680.02001953125
1993-03,1676.8399658203125
1993-04,1626.8299560546875
1993-05,1627.2099609375
1993-06,1700.9300537109375
1993-07,1823.0699462890625
1993-08,1931.8800048828125
1993-09,1910.22998046875
1993-10,2064.97998046875
1993-11,2052.919921875
1993-12,2255.2900390625
1994-01,2192.60009765625
1994-02,2103.239990234375
1994-03,2142.8798828125
1994-04,2252.510009765625
1994-05,2137.340087890625
1994-06,2020.8499755859375
1994-07,2152.18994140625
1994-08,2207.090087890625
1994-09,2002.300048828125
1994-10,2061.580078125
1994-11,2057.280029296875
1994-12,2097.510009765625
1995-01,2024.8199462890625
1995-02,2097.85009765625
1995-03,1914.68994140625
1995-04,2017.949951171875
1995-05,2099.949951171875
1995-06,2089.0400390625
1995-07,2222.510009765625
1995-08,2234.22998046875
1995-09,2201.27001953125
1995-10,2165.760009765625
1995-11,2254.949951171875
1995-12,2260.68994140625
1996-01,2463.0
1996-02,2485.179931640625
1996-03,2489.35009765625
1996-04,2492.6298828125
1996-05,2523.81005859375
1996-06,2570.43994140625
1996-07,2491.5
1996-08,2534.489990234375
1996-09,2655.489990234375
1996-10,2671.39990234375
1996-11,2848.840087890625
1996-12,2880.070068359375
1997-01,3037.699951171875
1997-02,3261.0400390625
1997-03,3407.830078125
1997-04,3438.090087890625
1997-05,3562.72998046875
1997-06,3766.889892578125
1997-07,4405.52001953125
1997-08,3919.7900390625
1997-09,4154.89013671875
1997-10,3753.659912109375
1997-11,3972.080078125
1997-12,4224.2998046875
1998-01,4442.52978515625
1998-02,4693.85986328125
1998-03,5097.25
1998-04,5241.22998046875
1998-05,5556.990234375
1998-06,5841.830078125
1998-07,5861.18994140625
1998-08,4811.27978515625
1998-09,4430.91015625
1998-10,4690.990234375
1998-11,5026.14013671875
1998-12,5006.56982421875
1999-01,5180.2900390625
1999-02,4903.9599609375
1999-03,4865.27001953125
1999-04,5360.43994140625
1999-05,5068.58984375
1999-06,5378.52001953125
1999-07,5101.8701171875
1999-08,5270.77001953125
1999-09,5149.830078125
1999-10,5525.39990234375
1999-11,5896.0400390625
1999-12,6958.14013671875
2000-01,6835.60009765625
2000-02,7644.5498046875
2000-03,7599.39013671875
2000-04,7414.68017578125
2000-05,7109.669921875
2000-06,6898.2099609375
2000-07,7190.3701171875
2000-08,7216.4501953125
2000-09,6798.1201171875
2000-10,7077.43994140625
2000-11,6372.330078125
2000-12,6433.60986328125
2001-01,6795.14013671875
2001-02,6208.240234375
2001-03,5829.9501953125
2001-04,6264.509765625
2001-05,6123.259765625
2001-06,6058.3798828125
2001-07,5861.18994140625
2001-08,5188.169921875
2001-09,4308.14990234375
2001-10,4559.1298828125
2001-11,4989.91015625
2001-12,5160.10009765625
2002-01,5107.60986328125
2002-02,5039.080078125
2002-03,5397.2900390625
2002-04,5041.2001953125
2002-05,4818.2998046875
2002-06,4382.56005859375
2002-07,3700.139892578125
2002-08,3712.93994140625
2002-09,2769.030029296875
2002-10,3152.85009765625
2002-11,3320.320068359375
2002-12,2892.6298828125
2003-01,2747.830078125
2003-02,2547.050048828125
2003-03,2423.8701171875
2003-04,2942.0400390625
2003-05,2982.679931640625
2003-06,3220.580078125
2003-07,3487.860107421875
2003-08,3484.580078125
2003-09,3256.780029296875
2003-10,3655.989990234375
2003-11,3745.949951171875
2003-12,3965.159912109375
2004-01,4058.60009765625
2004-02,4018.159912109375
2004-03,3856.699951171875
2004-04,3985.2099609375
2004-05,3921.409912109375
2004-06,4052.72998046875
2004-07,3895.610107421875
2004-08,3785.2099609375
2004-09,3892.89990234375
2004-10,3960.25
2004-11,4126.0
2004-12,4256.080078125
2005-01,4254.85009765625
2005-02,4350.490234375
2005-03,4348.77001953125
2005-04,4184.83984375
2005-05,4460.6298828125
2005-06,4586.27978515625
2005-07,4886.5
2005-08,4829.68994140625
2005-09,5044.1201171875
2005-10,4929.06982421875
2005-11,5193.39990234375
2005-12,5408.259765625
