Date,CAC 40
1990-03,1972.0
1990-04,2046.0
1990-05,2107.0
1990-06,2035.0
1990-07,1965.0
1990-08,1690.0
1990-09,1499.0
1990-10,1645.0
1990-11,1605.0
1990-12,1509.0
1991-01,1580.0
1991-02,1760.0
1991-03,1816.0
1991-04,1779.0
1991-05,1861.800048828125
1991-06,1747.5999755859375
1991-07,1754.699951171875
1991-08,1864.300048828125
1991-09,1880.5999755859375
1991-10,1856.699951171875
1991-11,1739.699951171875
1991-12,1765.699951171875
1992-01,1875.300048828125
1992-02,1983.4000244140625
1992-03,1942.4000244140625
1992-04,2031.0999755859375
1992-05,2033.300048828125
1992-06,1900.5999755859375
1992-07,1754.699951171875
1992-08,1684.9000244140625
1992-09,1736.699951171875
1992-10,1742.4000244140625
1992-11,1771.4000244140625
1992-12,1857.800048828125
1993-01,1772.199951171875
1993-02,1983.699951171875
1993-03,2031.4000244140625
1993-04,1939.0
1993-05,1888.699951171875
1993-06,1971.9000244140625
1993-07,2085.89990234375
1993-08,2216.5
1993-09,2114.60009765625
1993-10,2182.0
1993-11,2110.10009765625
1993-12,2268.199951171875
1994-01,2334.39990234375
1994-02,2238.10009765625
1994-03,2081.89990234375
1994-04,2166.0
1994-05,2029.9000244140625
1994-06,1892.0
1994-07,2075.0
1994-08,2069.10009765625
1994-09,1879.300048828125
1994-10,1905.699951171875
1994-11,1975.9000244140625
1994-12,1881.199951171875
1995-01,1797.9000244140625
1995-02,1776.9000244140625
1995-03,1859.5
1995-04,1918.5
1995-05,1948.0
1995-06,1858.800048828125
1995-07,1920.0
1995-08,1883.4000244140625
1995-09,1788.4000244140625
1995-10,1814.0
1995-11,1828.300048828125
1995-12,1872.0
1996-01,2021.0
1996-02,1990.800048828125
1996-03,2044.800048828125
1996-04,2146.800048828125
1996-05,2110.10009765625
1996-06,2123.699951171875
1996-07,1995.9000244140625
1996-08,1970.5999755859375
1996-09,2132.800048828125
1996-10,2140.5
1996-11,2315.699951171875
1996-12,2315.699951171875
1997-01,2516.60009765625
1997-02,2607.800048828125
1997-03,2656.699951171875
1997-04,2639.5
1997-05,2583.89990234375
1997-06,2858.300048828125
1997-07,3075.699951171875
1997-08,2770.5
1997-09,3008.300048828125
1997-10,2739.300048828125
1997-11,2854.39990234375
1997-12,2998.89990234375
1998-01,3172.10009765625
1998-02,3421.89990234375
1998-03,3875.300048828125
1998-04,3880.919921875
1998-05,4041.159912109375
1998-06,4203.4501953125
1998-07,4177.31005859375
1998-08,3765.22998046875
1998-09,3197.949951171875
1998-10,3522.929931640625
1998-11,3843.3798828125
1998-12,3942.659912109375
1999-01,4251.7998046875
1999-02,4092.93994140625
1999-03,4197.8798828125
1999-04,4405.35009765625
1999-05,4351.2900390625
1999-06,4536.60986328125
1999-07,4382.06005859375
1999-08,4589.22021484375
1999-09,4591.419921875
1999-10,4888.6201171875
1999-11,5341.6201171875
1999-12,5958.31982421875
2000-01,5659.81005859375
2000-02,6190.9599609375
2000-03,6286.0498046875
2000-04,6419.72021484375
2000-05,6426.259765625
2000-06,6446.5400390625
2000-07,6542.490234375
2000-08,6625.419921875
2000-09,6266.6298828125
2000-10,6397.66015625
2000-11,5928.080078125
2000-12,5926.419921875
2001-01,5998.490234375
2001-02,5367.47998046875
2001-03,5180.4501953125
2001-04,5640.02978515625
2001-05,5454.18994140625
2001-06,5225.330078125
2001-07,5085.509765625
2001-08,4689.33984375
2001-09,4079.02001953125
2001-10,4341.2900390625
2001-11,4476.06005859375
2001-12,4624.580078125
2002-01,4461.8701171875
2002-02,4462.990234375
2002-03,4688.02001953125
2002-04,4462.740234375
2002-05,4274.64013671875
2002-06,3897.989990234375
2002-07,3415.3798828125
2002-08,3366.2099609375
2002-09,2777.449951171875
2002-10,3150.0400390625
2002-11,3326.64990234375
2002-12,3063.909912109375
2003-01,2937.8798828125
2003-02,2754.070068359375
2003-03,2618.4599609375
2003-04,2953.669921875
2003-05,2991.75
2003-06,3084.10009765625
2003-07,3210.27001953125
2003-08,3311.419921875
2003-09,3134.989990234375
2003-10,3373.199951171875
2003-11,3424.7900390625
2003-12,3557.89990234375
2004-01,3638.43994140625
2004-02,3725.43994140625
2004-03,3625.22998046875
2004-04,3674.280029296875
2004-05,3669.6298828125
2004-06,3732.989990234375
2004-07,3647.10009765625
2004-08,3594.280029296875
2004-09,3640.610107421875
2004-10,3706.820068359375
2004-11,3753.75
2004-12,3821.159912109375
2005-01,3913.68994140625
2005-02,4027.159912109375
2005-03,4067.780029296875
2005-04,3911.7099609375
2005-05,4120.72998046875
2005-06,4229.35009765625
2005-07,4451.740234375
2005-08,4399.35986328125
2005-09,4600.02001953125
2005-10,4436.4501953125
2005-11,4567.41015625
2005-12,4715.22998046875
2006-01,4947.990234375
2006-02,5000.4501953125
2006-03,5220.85009765625
2006-04,5188.39990234375
2006-05,4930.18017578125
2006-06,4965.9599609375
2006-07,5009.419921875
2006-08,5165.0400390625
2006-09,5250.009765625
2006-10,5348.72998046875
2006-11,5327.64013671875
2006-12,5541.759765625
2007-01,5608.31005859375
2007-02,5516.31982421875
2007-03,5634.16015625
2007-04,5960.0400390625
2007-05,6104.0
2007-06,6054.93017578125
2007-07,5751.080078125
2007-08,5662.7001953125
2007-09,5715.68994140625
2007-10,5847.9501953125
2007-11,5670.56982421875
2007-12,5614.080078125
2008-01,4869.7900390625
2008-02,4790.66015625
2008-03,4707.06982421875
2008-04,4996.5400390625
2008-05,5014.27978515625
2008-06,4434.85009765625
2008-07,4392.35986328125
2008-08,4482.60009765625
