Date,Vanguard Small Cap Index Adm
2000-12,19.440000534057617
2001-01,20.459999084472656
2001-02,19.1200008392334
2001-03,18.18000030517578
2001-04,19.59000015258789
2001-05,20.079999923706055
2001-06,20.8799991607666
2001-07,19.809999465942383
2001-08,19.170000076293945
2001-09,16.579999923706055
2001-10,17.549999237060547
2001-11,18.90999984741211
2001-12,19.829999923706055
2002-01,19.610000610351562
2002-02,19.079999923706055
2002-03,20.6200008392334
2002-04,20.809999465942383
2002-05,19.90999984741211
2002-06,18.989999771118164
2002-07,16.149999618530273
2002-08,16.110000610351562
2002-09,14.949999809265137
2002-10,15.430000305175781
2002-11,16.959999084472656
2002-12,15.65999984741211
2003-01,15.229999542236328
2003-02,14.770000457763672
2003-03,14.960000038146973
2003-04,16.360000610351562
2003-05,17.920000076293945
2003-06,18.280000686645508
2003-07,19.260000228881836
2003-08,20.190000534057617
2003-09,19.860000610351562
2003-10,21.479999542236328
2003-11,22.290000915527344
2003-12,22.600000381469727
2004-01,23.489999771118164
2004-02,23.81999969482422
2004-03,24.100000381469727
2004-04,22.950000762939453
2004-05,23.389999389648438
2004-06,24.350000381469727
2004-07,22.90999984741211
2004-08,22.829999923706055
2004-09,23.799999237060547
2004-10,24.329999923706055
2004-11,26.170000076293945
2004-12,26.829999923706055
2005-01,25.8700008392334
2005-02,26.420000076293945
2005-03,25.81999969482422
2005-04,24.6200008392334
2005-05,26.149999618530273
2005-06,27.06999969482422
2005-07,28.770000457763672
2005-08,28.290000915527344
2005-09,28.489999771118164
2005-10,27.56999969482422
2005-11,28.84000015258789
2005-12,28.530000686645508
2006-01,30.770000457763672
2006-02,30.729999542236328
2006-03,32.0099983215332
2006-04,32.02000045776367
2006-05,30.440000534057617
2006-06,30.5
2006-07,29.489999771118164
2006-08,30.15999984741211
2006-09,30.43000030517578
2006-10,32.0099983215332
2006-11,33.0099983215332
2006-12,32.63999938964844
2007-01,33.40999984741211
2007-02,33.380001068115234
2007-03,33.779998779296875
2007-04,34.689998626708984
2007-05,36.220001220703125
2007-06,35.63999938964844
2007-07,33.59000015258789
2007-08,34.040000915527344
2007-09,34.77000045776367
2007-10,35.689998626708984
2007-11,33.279998779296875
2007-12,32.59000015258789
2008-01,30.559999465942383
2008-02,29.760000228881836
2008-03,29.600000381469727
2008-04,31.219999313354492
2008-05,32.84000015258789
2008-06,29.920000076293945
2008-07,30.420000076293945
2008-08,31.3700008392334
2008-09,28.420000076293945
2008-10,22.299999237060547
2008-11,19.75
2008-12,20.399999618530273
2009-01,18.309999465942383
2009-02,16.1200008392334
2009-03,17.639999389648438
2009-04,20.8700008392334
2009-05,21.649999618530273
2009-06,21.899999618530273
2009-07,24.030000686645508
2009-08,25.100000381469727
2009-09,26.690000534057617
2009-10,24.93000030517578
2009-11,25.760000228881836
2009-12,27.5
2010-01,26.579999923706055
2010-02,27.899999618530273
2010-03,30.149999618530273
2010-04,31.829999923706055
2010-05,29.350000381469727
2010-06,27.1299991607666
2010-07,29.079999923706055
2010-08,27.15999984741211
2010-09,30.420000076293945
2010-10,31.670000076293945
2010-11,32.63999938964844
2010-12,34.779998779296875
2011-01,35.08000183105469
2011-02,36.959999084472656
2011-03,37.849998474121094
2011-04,38.970001220703125
2011-05,38.189998626708984
2011-06,37.41999816894531
2011-07,36.040000915527344
2011-08,33.04999923706055
2011-09,29.420000076293945
2011-10,33.900001525878906
2011-11,33.77000045776367
2011-12,33.38999938964844
2012-01,35.72999954223633
2012-02,36.869998931884766
2012-03,37.709999084472656
2012-04,37.369998931884766
2012-05,34.84000015258789
2012-06,36.40999984741211
2012-07,36.119998931884766
2012-08,37.369998931884766
2012-09,38.400001525878906
2012-10,37.84000015258789
2012-11,38.290000915527344
2012-12,38.7599983215332
2013-01,41.220001220703125
2013-02,41.779998779296875
2013-03,43.72999954223633
2013-04,43.79999923706055
2013-05,45.38999938964844
2013-06,44.939998626708984
2013-07,47.939998626708984
2013-08,46.41999816894531
2013-09,49.06999969482422
2013-10,50.68000030517578
2013-11,52.060001373291016
2013-12,52.720001220703125
2014-01,51.63999938964844
2014-02,54.2599983215332
2014-03,54.08000183105469
2014-04,52.83000183105469
2014-05,53.45000076293945
2014-06,56.119998931884766
2014-07,53.349998474121094
2014-08,56.02000045776367
2014-09,53.040000915527344
2014-10,55.41999816894531
2014-11,55.970001220703125
2014-12,55.869998931884766
2015-01,54.66999816894531
2015-02,57.86000061035156
2015-03,58.529998779296875
2015-04,57.540000915527344
2015-05,58.709999084472656
2015-06,58.20000076293945
2015-07,58.029998779296875
2015-08,54.650001525878906
2015-09,51.7400016784668
2015-10,54.689998626708984
2015-11,55.689998626708984
2015-12,53.04999923706055
2016-01,48.9900016784668
2016-02,49.439998626708984
2016-03,53.43000030517578
2016-04,54.36000061035156
2016-05,55.40999984741211
2016-06,55.40999984741211
2016-07,58.220001220703125
2016-08,58.59000015258789
2016-09,58.54999923706055
2016-10,56.150001525878906
2016-11,60.97999954223633
2016-12,61.77000045776367
2017-01,62.7400016784668
2017-02,64.2300033569336
2017-03,63.869998931884766
2017-04,64.41000366210938
2017-05,63.689998626708984
2017-06,64.98999786376953
2017-07,65.70999908447266
2017-08,65.08999633789062
2017-09,67.69999694824219
2017-10,68.75
2017-11,70.87999725341797
2017-12,70.77999877929688
2018-01,72.80000305175781
2018-02,69.83999633789062
2018-03,70.41999816894531
2018-04,70.66000366210938
2018-05,74.25
2018-06,74.61000061035156
2018-07,75.9800033569336
2018-08,79.38999938964844
2018-09,77.86000061035156
2018-10,70.01000213623047
