Date,US 2-Year Treasury Yield
1985-01,8.050000190734863
1985-02,8.5
1985-03,8.180000305175781
1985-04,7.849999904632568
1985-05,7.139999866485596
1985-06,6.829999923706055
1985-07,7.28000020980835
1985-08,7.139999866485596
1985-09,7.039999961853027
1985-10,7.190000057220459
1985-11,7.159999847412109
1985-12,7.050000190734863
1986-01,6.96999979019165
1986-02,7.019999980926514
1986-03,6.340000152587891
1986-04,6.099999904632568
1986-05,6.300000190734863
1986-06,5.960000038146973
1986-07,5.789999961853027
1986-08,5.170000076293945
1986-09,5.199999809265137
1986-10,5.199999809265137
1986-11,5.389999866485596
1986-12,5.670000076293945
1987-01,5.599999904632568
1987-02,5.449999809265137
1987-03,5.610000133514404
1987-04,5.53000020980835
1987-05,5.679999828338623
1987-06,5.730000019073486
1987-07,6.070000171661377
1987-08,6.25
1987-09,6.610000133514404
1987-10,5.269999980926514
1987-11,5.210000038146973
1987-12,5.679999828338623
1988-01,5.639999866485596
1988-02,5.619999885559082
1988-03,5.710000038146973
1988-04,5.980000019073486
1988-05,6.429999828338623
1988-06,6.559999942779541
1988-07,6.949999809265137
1988-08,7.300000190734863
1988-09,7.25
1988-10,7.360000133514404
1988-11,7.829999923706055
1988-12,8.100000381469727
1989-01,8.390000343322754
1989-02,8.710000038146973
1989-03,8.899999618530273
1989-04,8.40999984741211
1989-05,8.609999656677246
1989-06,7.989999771118164
1989-07,7.800000190734863
1989-08,7.889999866485596
1989-09,7.909999847412109
1989-10,7.769999980926514
1989-11,7.590000152587891
1989-12,7.550000190734863
1990-01,7.739999771118164
1990-02,7.769999980926514
1990-03,7.800000190734863
1990-04,7.789999961853027
1990-05,7.75
1990-06,7.739999771118164
1990-07,7.489999771118164
1990-08,7.389999866485596
1990-09,7.139999866485596
1990-10,7.110000133514404
1990-11,7.019999980926514
1990-12,6.440000057220459
1991-01,6.190000057220459
1991-02,6.039999961853027
1991-03,5.739999771118164
1991-04,5.510000228881836
1991-05,5.53000020980835
1991-06,5.539999961853027
1991-07,5.53000020980835
1991-08,5.329999923706055
1991-09,5.110000133514404
1991-10,4.820000171661377
1991-11,4.349999904632568
1991-12,3.880000114440918
1992-01,3.8399999141693115
1992-02,3.930000066757202
1992-03,4.050000190734863
1992-04,3.700000047683716
1992-05,3.700000047683716
1992-06,3.569999933242798
1992-07,3.180000066757202
1992-08,3.1600000858306885
1992-09,2.690000057220459
1992-10,2.9600000381469727
1992-11,3.2699999809265137
1992-12,3.0799999237060547
1993-01,2.9000000953674316
1993-02,2.950000047683716
1993-03,2.890000104904175
1993-04,2.9100000858306885
1993-05,3.059999942779541
1993-06,3.0299999713897705
1993-07,3.0299999713897705
1993-08,3.009999990463257
1993-09,2.9200000762939453
1993-10,3.0299999713897705
1993-11,3.140000104904175
1993-12,3.0
1994-01,2.9700000286102295
1994-02,3.359999895095825
1994-03,3.4700000286102295
1994-04,3.859999895095825
1994-05,4.170000076293945
1994-06,4.139999866485596
1994-07,4.269999980926514
1994-08,4.559999942779541
1994-09,4.670000076293945
1994-10,5.019999980926514
1994-11,5.550000190734863
1994-12,5.53000020980835
1995-01,5.840000152587891
1995-02,5.75
1995-03,5.699999809265137
1995-04,5.690000057220459
1995-05,5.630000114440918
1995-06,5.429999828338623
