Date,MSCI EMU
1987-12,10000
1988-01,9199.976260423156
1988-02,10323.451734472834
1988-03,10461.734769577733
1988-04,10620.493189708894
1988-05,10486.661325261877
1988-06,10595.566634024752
1988-07,10577.168461972165
1988-08,10290.809816315024
1988-09,10922.87604973441
1988-10,12036.558948336746
1988-11,12159.411258494318
1988-12,12396.51028220422
1989-01,12226.475563073089
1989-02,12095.611145731327
1989-03,12187.602005994244
1989-04,12675.153565387698
1989-05,12194.42713433633
1989-06,12776.64025638743
1989-07,13983.50099409478
1989-08,13950.562331226447
1989-09,14520.015430724949
1989-10,13823.258850410992
1989-11,14688.566426303452
1989-12,16522.745482061782
1990-01,16334.015846167544
1990-02,15914.122080773912
1990-03,16794.26689219265
1990-04,16698.715095403426
1990-05,17160.746609691683
1990-06,17537.612392059113
1990-07,18292.827680346603
1990-08,15946.170509510668
1990-09,13822.665360989944
1990-10,15191.25196593371
1990-11,15042.582865960416
1990-12,14703.99715125078
1991-01,15011.721416065759
1991-02,16463.09979524615
1991-03,15098.964360960268
1991-04,15044.956823644618
1991-05,15675.836078221902
1991-06,14299.534110804476
1991-07,14796.581500934746
1991-08,15067.509421644561
1991-09,15556.247959880116
1991-10,15267.218611828244
1991-11,15279.978634380843
1991-12,16408.202023798927
1992-01,16528.680376272296
1992-02,16906.733137481824
1992-03,16478.233775482957
1992-04,16777.945933113744
1992-05,17649.781892637766
1992-06,17544.4375204012
1992-07,16769.933825929555
1992-08,16785.067806166353
1992-09,16380.011276299001
1992-10,15480.578058696105
1992-11,15316.774978486008
1992-12,15367.8150686964
1993-01,15733.701296774387
1993-02,16474.079349535594
1993-03,17055.99572687617
1993-04,17225.733701296776
1993-05,17157.779162586427
1993-06,16860.44096263984
1993-07,17026.321255823616
1993-08,18852.191459687234
1993-09,18748.62755571382
1993-10,19432.920858185706
1993-11,18678.595804029796
1993-12,20043.918217157785
1994-01,20784.889759340043
1994-02,20372.414611709548
1994-03,20399.715125077895
1994-04,21545.446452416985
1994-05,20554.615863972227
1994-06,20096.4420309208
1994-07,21426.45182349625
1994-08,21839.223715837266
1994-09,20854.62476631354
1994-10,21640.10801507463
1994-11,20803.287931392624
1994-12,20910.116027181815
1995-01,20824.950295260987
1995-02,21423.187631680466
1995-03,22083.14786788926
1995-04,23027.38953678151
1995-05,23341.938929938577
1995-06,23549.956972016975
1995-07,24903.40959672394
1995-08,23623.54966022731
1995-09,23855.30727914775
1995-10,23525.03041633283
1995-11,23642.54132170094
1995-12,24573.726223330075
1996-01,25357.42900382801
1996-02,25689.189590195554
1996-03,25861.301522300368
1996-04,26183.269533220573
1996-05,26509.985459509186
1996-06,26865.48562271878
1996-07,26310.57301403603
1996-08,26541.737143535414
1996-09,27349.77299029645
1996-10,27646.22095611146
1996-11,29175.049704739013
1996-12,29674.47105255349
1997-01,30140.063503368052
1997-02,30302.679604736048
1997-03,31538.918068785424
1997-04,30998.545950918426
1997-05,31938.336449152797
1997-06,34049.08157512093
1997-07,35909.374165405505
1997-08,33163.89210362326
1997-09,36490.69705332503
1997-10,34237.81121101516
1997-11,34927.445918276506
1997-12,36213.8342384047
1998-01,37759.28069082169
1998-02,40835.63310483991
1998-03,44642.570996172
1998-04,46166.651829431146
1998-05,48460.78518650405
1998-06,49134.39567939702
1998-07,50793.495355945284
1998-08,43492.981987596075
1998-09,41857.62188788985
1998-10,45164.54494198641
1998-11,47885.69393750556
1998-12,50615.44852962996
1999-01,50310.98845663076
1999-02,47909.43351434761
1999-03,48050.09050713672
1999-04,49377.42959731743
1999-05,47174.10012166533
1999-06,48474.73218789876
1999-07,48338.229621057006
1999-08,49398.79521647527
1999-09,49170.30178937061
1999-10,51226.74263331256
1999-11,53103.35618267605
1999-12,60358.76435502538
2000-01,56696.63788242976
2000-02,61873.349357547704
2000-03,61719.63559749548
2000-04,58713.90842458234
2000-05,58616.27941481944
2000-06,60308.911243657094
2000-07,58529.62995934598
2000-08,57123.060031454945
2000-09,54292.7089824624
2000-10,53628.59432030625
2000-11,51723.49327873231
2000-12,55294.519125196595
2001-01,55606.69456066946
2001-02,50132.94163031545
2001-03,46349.14982640435
2001-04,50138.28303510491
2001-05,46973.20395263954
2001-06,45187.98777411793
2001-07,45403.72117866999
2001-08,43712.57307338496
2001-09,38199.94658595211
2001-10,39892.87515950028
2001-11,41876.61354936349
2001-12,43056.470518413014
2002-01,40656.99278910353
2002-02,40443.03985281462
2002-03,42829.7575595715
2002-04,42181.66711178373
2002-05,42139.23261817858
2002-06,40950.17656310277
2002-07,35156.2360900917
2002-08,35475.830143327694
2002-09,29483.07071426452
2002-10,33293.272797412385
2002-11,35481.171548117156
2002-12,33802.18997596368
2003-01,32702.750823466573
2003-02,31346.62749636488
2003-03,30396.747677972642
2003-04,35384.43277248583
2003-05,37916.55538740023
2003-06,38482.44755037241
2003-07,39461.40835039616
2003-08,39478.02605418559
2003-09,39584.26066055373
2003-10,42532.419359624924
2003-11,44747.025134276984
2003-12,48717.766105819166
2004-01,49569.720169737964
2004-02,50518.11626457759
2004-03,48557.22721742484
2004-04,47954.83545505802
2004-05,48727.558681266506
2004-06,49937.98035550016
2004-07,48028.42814326836
2004-08,47916.85213211075
2004-09,50067.95453871035
2004-10,52668.625181756135
2004-11,56629.8703225615
2004-12,59549.24478471171
2005-01,58266.41740110983
2005-02,61022.87901718152
2005-03,59552.805721238015
2005-04,57298.73290008607
2005-05,58071.159381584024
2005-06,59079.79465266032
2005-07,61906.88150983708
2005-08,62129.73678744177
2005-09,63793.28763464792
2005-10,61302.709279207105
2005-11,62748.449508887505
2005-12,65252.08463159143
2006-01,69932.04546128964
2006-02,70605.65595418261
2006-03,73737.20288435859
2006-04,76933.44016142913
2006-05,74925.66545001336
2006-06,75051.48520727619
2006-07,75714.41289059023
2006-08,78640.90922579306
2006-09,79920.47241757916
2006-10,83030.35698388676
2006-11,86551.23297427224
2006-12,89575.06157452744
2007-01,90179.53054986795
2007-02,90242.14368378886
2007-03,93687.64651770082
2007-04,100665.30164099827
2007-05,103575.18027241166
2007-06,103241.63921778095
2007-07,100862.34012878721
2007-08,99845.98949523726
2007-09,105666.63699219562
2007-10,110844.5354461557
2007-11,108717.46936110864
2007-12,107799.93471616368
2008-01,95096.88714798659
2008-02,96394.55176711474
2008-03,97968.78245645273
2008-04,102268.91005667826
2008-05,103445.50283391199
2008-06,92643.10513665095
2008-07,90366.47971749904
2008-08,86318.28837650969
2008-09,73019.67417430785
2008-10,55543.78468203805
2008-11,51951.39321641592
2008-12,57039.081278376216
2009-01,49037.656903765695
2009-02,43314.044927149174
2009-03,47094.57253924449
2009-04,54605.47790735631
2009-05,61278.37621294401
2009-06,59687.824564527145
2009-07,66104.03869551026
2009-08,70659.96023620879
2009-09,75115.87880946022
2009-10,72494.13929196712
2009-11,74976.70554022375
2009-12,75743.49387222173
2010-01,69950.74037805275
2010-02,67431.6745304015
2010-03,72129.73678744177
2010-04,69206.80138876526
2010-05,60387.25184723583
2010-06,59638.26819786938
2010-07,67431.37778569097
2010-08,63306.62630938604
2010-09,71600.93771328527
2010-10,75602.83687943261
2010-11,67391.31724977003
2010-12,73150.24184693908
2011-01,78183.32888216269
2011-02,80303.86658357816
2011-03,80356.39039734117
2011-04,87206.74203982315
2011-05,82899.492566545
2011-06,82903.35024778183
2011-07,77553.33986171697
2011-08,67639.39582776937
2011-09,59408.88453663314
2011-10,67071.12970711298
2011-11,63228.582450517824
2011-12,60816.04795394522
2012-01,64659.485444671955
2012-02,68878.00824950296
2012-03,68521.32110745128
2012-04,64776.99635004006
2012-05,56494.85147927239
2012-06,61695.59927594291
2012-07,61647.52663283778
2012-08,65655.36069319565
2012-09,67885.9906822161
2012-10,69534.40754918545
2012-11,71760.88311225853
2012-12,74493.01166206713
2013-01,79051.6039051604
2013-02,75521.82557345915
2013-03,74272.82708685717
2013-04,78675.33161221402
2013-05,80103.56390397341
2013-06,76002.84874922106
2013-07,82583.75619454584
2013-08,81140.38992254963
2013-09,88314.19329950445
2013-10,93506.63224428025
2013-11,94912.01519332918
2013-12,96866.9693462714
2014-01,92721.74248494022
2014-02,99509.18424879077
2014-03,99619.8700258168
2014-04,101411.61458796998
2014-05,102670.10890530876
2014-06,102234.19092554676
2014-07,96550.34274014067
2014-08,96593.96421258792
2014-09,93418.49906525416
2014-10,90311.87869076234
2014-11,94172.23062998902
2014-12,89382.47425739637
2015-01,89539.15546455386
2015-02,95483.54550580136
2015-03,94198.04741980476
2015-04,96961.33416421853
2015-05,95584.73545209058
2015-06,93378.73527404375
2015-07,96950.05786521856
2015-08,90048.07264310513
2015-09,85573.16240838007
2015-10,92904.83397133446
2015-11,91463.24816760141
2015-12,88707.38004095078
2016-01,82795.33517315054
2016-02,80635.03368052466
2016-03,86926.91177779756
2016-04,88562.86536692482
2016-05,88249.20620789935
2016-06,82856.16783880828
2016-07,87682.42381079558
2016-08,88521.91459687233
2016-09,89355.76723344905
2016-10,88328.14030089915
2016-11,85233.68645953886
2016-12,90652.54161844566
2017-01,91976.6165168106
2017-02,92843.11107154515
2017-03,98554.85325974064
2017-04,102730.34808154544
2017-05,108125.16691889967
2017-06,106952.13507819224
2017-07,110933.55885931334
2017-08,111367.10288139114
2017-09,115680.28724887979
2017-10,116774.08825187692
2017-11,117111.48698774444
2017-12,116931.36294845547
2018-01,125168.69936793378
2018-02,117963.73779637378
2018-03,116478.82726490402
2018-04,120208.31478678892
2018-05,114904.89332027658
2018-06,113990.32612243689
2018-07,118213.59684263628
2018-08,114443.45529540937
2018-09,113952.63954420014
2018-10,104004.5698685421
2018-11,103066.26309386035
2018-12,97948.60381613698
2019-01,104541.3810498828
2019-02,107844.44642274252
2019-03,107784.50399121636
2019-04,113279.02905130715
2019-05,106431.94160064096
2019-06,114392.11846048843
2019-07,112036.26220362623
2019-08,109466.45301047509
2019-09,112425.88800854624
2019-10,116453.90070921986
2019-11,118169.38188076798
2019-12,121677.49784860086
2020-01,118083.91940413664
2020-02,107800.52820558473
2020-03,89179.20413068637
2020-04,94869.58069972403
2020-05,101068.28095789191
2020-06,107127.51120211283
2020-07,111267.99014807564
2020-08,116512.65616190393
2020-09,112186.41502715215
2020-10,105236.95065135467
2020-11,126556.27763435118
2020-12,132022.31520223152
2021-01,129378.91332087007
2021-02,133931.5706697528
2021-03,138280.9578919256
2021-04,144833.0811003294
2021-05,151070.0614261551
2021-06,148140.00415442596
2021-07,150115.43369239444
2021-08,153117.00643936024
2021-09,145446.7491616962
2021-10,151232.3807828125
2021-11,142292.05614409925
2021-12,150861.74663936617
2022-01,143564.49746283275
2022-02,136345.58888987804
2022-03,134166.88922519956
2022-04,124896.28772367131
2022-05,128039.40769755779
2022-06,113504.25828659604
2022-07,118831.71607466096
2022-08,111306.86370515446
2022-09,101614.29122525892
2022-10,110649.5741713404
2022-11,124932.19383364492
2022-12,124901.62912846079
2023-01,139368.8240007122
2023-02,138366.71711326746
2023-03,142796.52215199266
2023-04,147444.13780824357
2023-05,139354.58025460696
2023-06,148107.65898097868
2023-07,152586.42689694057
2023-08,145601.05641116947
2023-09,137503.7834950592
2023-10,132824.41615478205
2023-11,148010.92020534736
2023-12,154695.98504406656
